nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.761013655E+04  1.537166179E+02  3.330711249E+02  2.762593259E+02  2.356381852E+02  8.602150287E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747183307E+04  1.544418260E+02  3.330010337E+02  2.761430244E+02  2.364284958E+02  8.592260410E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736481476E+04  1.550831178E+02  3.329464443E+02  2.760524762E+02  2.369791268E+02  8.579155873E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.725410925E+04  1.557200189E+02  3.328919902E+02  2.759622660E+02  2.377246234E+02  8.574227681E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.714828564E+04  1.563858938E+02  3.328384371E+02  2.758734956E+02  2.384547544E+02  8.567883391E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.702148071E+04  1.570787764E+02  3.327735243E+02  2.757659388E+02  2.393380923E+02  8.565839492E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.683424780E+04  1.579809632E+02  3.326687212E+02  2.755922041E+02  2.403539052E+02  8.557026852E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.659314294E+04  1.591453390E+02  3.325268478E+02  2.753571944E+02  2.415998125E+02  8.542314321E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.634564819E+04  1.603563647E+02  3.323946643E+02  2.751384249E+02  2.429896195E+02  8.531084573E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.611479932E+04  1.614634932E+02  3.322937286E+02  2.749713526E+02  2.441572950E+02  8.518129690E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.600220892E+04  1.627219182E+02  3.322307801E+02  2.748671141E+02  2.449234284E+02  8.481902312E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.617491040E+04  1.634018130E+02  3.323086500E+02  2.749959780E+02  2.446945219E+02  8.443300403E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.668667749E+04  1.628323164E+02  3.325810366E+02  2.754469614E+02  2.431205201E+02  8.425376844E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.750878516E+04  1.606978521E+02  3.330253525E+02  2.761834717E+02  2.406103239E+02  8.460139446E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.853585010E+04  1.564971704E+02  3.335793877E+02  2.771032200E+02  2.371945591E+02  8.581359275E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.937592896E+04  1.497687221E+02  3.340180197E+02  2.778326635E+02  2.343857265E+02  8.865810949E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.735678479E+04  1.456168064E+02  3.330324101E+02  2.761973922E+02  2.411385729E+02  9.341104981E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.558327966E+04  1.751641135E+02  3.262128873E+02  2.650005646E+02  2.854423118E+02  9.393756315E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.989709192E+04  2.104194915E+02  3.226443822E+02  2.592367134E+02  3.090737104E+02  8.460734789E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.283467603E+04  2.139676037E+02  3.244843711E+02  2.622068880E+02  3.003473161E+02  7.903300277E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.658550134E+04  2.084606168E+02  3.269322362E+02  2.661743896E+02  2.846007507E+02  7.567338371E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.901515572E+04  2.088640081E+02  3.283007807E+02  2.684064776E+02  2.774669383E+02  7.282797287E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.055544427E+04  2.107522551E+02  3.292715640E+02  2.699943470E+02  2.710554498E+02  6.957030338E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.167263921E+04  2.146249107E+02  3.299522479E+02  2.711110417E+02  2.666746030E+02  6.599799311E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.267566040E+04  2.198244791E+02  3.304458828E+02  2.719226842E+02  2.646136227E+02  6.259800033E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.337497644E+04  2.258710063E+02  3.307321587E+02  2.723937097E+02  2.640870514E+02  5.934373820E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.344461902E+04  2.331852603E+02  3.307179832E+02  2.723703554E+02  2.648612735E+02  5.591676519E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.292782961E+04  2.419175007E+02  3.304482407E+02  2.719262030E+02  2.668902294E+02  5.218087116E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.236763422E+04  2.508125799E+02  3.301240227E+02  2.713929788E+02  2.690897477E+02  4.841296743E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.187486969E+04  2.592317145E+02  3.297968383E+02  2.708551643E+02  2.716034067E+02  4.505866216E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.134149036E+04  2.672366533E+02  3.294403548E+02  2.702700696E+02  2.743627710E+02  4.204414957E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.078604871E+04  2.748933115E+02  3.291111274E+02  2.697301576E+02  2.770280280E+02  3.920081668E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.028113715E+04  2.824491361E+02  3.288374799E+02  2.692816273E+02  2.795241915E+02  3.635095039E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.999661598E+04  2.896840711E+02  3.286753536E+02  2.690160697E+02  2.815939475E+02  3.349360895E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  8.011600928E+04  2.956464418E+02  3.287370980E+02  2.691171802E+02  2.823487295E+02  3.080971933E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.038180753E+04  3.012349629E+02  3.288818785E+02  2.693541775E+02  2.825059453E+02  2.809973049E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.086340345E+04  3.062017198E+02  3.292264418E+02  2.699189709E+02  2.815296679E+02  2.523338618E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.202133777E+04  3.089207425E+02  3.299579443E+02  2.711202164E+02  2.781680280E+02  2.260043648E-01 
