nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755229887E+04  1.539413025E+02  3.330518832E+02  2.762272968E+02  2.357926363E+02  8.594851344E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747216708E+04  1.544250246E+02  3.330082163E+02  2.761549230E+02  2.363440400E+02  8.589756021E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736803137E+04  1.550565776E+02  3.329517570E+02  2.760612864E+02  2.370236514E+02  8.582045953E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.725163831E+04  1.557497292E+02  3.328905592E+02  2.759597578E+02  2.377661524E+02  8.573871851E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712731396E+04  1.564474173E+02  3.328264389E+02  2.758534861E+02  2.385223565E+02  8.566425815E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697685742E+04  1.572129688E+02  3.327482557E+02  2.757239251E+02  2.394342084E+02  8.561221771E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679677783E+04  1.580535293E+02  3.326534004E+02  2.755667629E+02  2.404438062E+02  8.555757403E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658186560E+04  1.590416768E+02  3.325381880E+02  2.753758445E+02  2.415818291E+02  8.547208924E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.634581799E+04  1.602437804E+02  3.324101143E+02  2.751638122E+02  2.428714008E+02  8.532790383E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.614992133E+04  1.615279733E+02  3.323035207E+02  2.749874008E+02  2.439854100E+02  8.508069664E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.608613651E+04  1.626502952E+02  3.322684453E+02  2.749293146E+02  2.447266032E+02  8.479025988E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.627037784E+04  1.631208004E+02  3.323699683E+02  2.750973563E+02  2.444480066E+02  8.449383066E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.675203467E+04  1.624899988E+02  3.326313887E+02  2.755302734E+02  2.429922709E+02  8.438539468E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.750355420E+04  1.604743309E+02  3.330321178E+02  2.761945744E+02  2.405477152E+02  8.470127843E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.843320947E+04  1.565988464E+02  3.335284138E+02  2.770184841E+02  2.374423132E+02  8.583347499E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.948500391E+04  1.497808409E+02  3.340415049E+02  2.778716564E+02  2.339664645E+02  8.850758355E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.721059436E+04  1.467044342E+02  3.328731046E+02  2.759325306E+02  2.434736466E+02  9.349446353E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.589502173E+04  1.738553147E+02  3.263615527E+02  2.652419305E+02  2.848804755E+02  9.444291983E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.022677448E+04  2.073880122E+02  3.229095743E+02  2.596615634E+02  3.058552873E+02  8.484036378E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.261038206E+04  2.118571606E+02  3.245313610E+02  2.622789761E+02  2.976561391E+02  7.899582062E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.622525739E+04  2.084381794E+02  3.266289692E+02  2.656794229E+02  2.848891182E+02  7.576359562E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.868915538E+04  2.084525409E+02  3.279847744E+02  2.678881859E+02  2.767283936E+02  7.270597836E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.028535223E+04  2.111294900E+02  3.289071491E+02  2.693962855E+02  2.716898789E+02  6.951729398E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.144361995E+04  2.155624979E+02  3.296248065E+02  2.705731070E+02  2.680429498E+02  6.594885499E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.247026093E+04  2.205701134E+02  3.302364695E+02  2.715780346E+02  2.649289212E+02  6.228744984E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.323376819E+04  2.260875120E+02  3.306733375E+02  2.722965131E+02  2.629427938E+02  5.878627021E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.343187982E+04  2.329596963E+02  3.308075759E+02  2.725173290E+02  2.631454616E+02  5.538078109E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.297633059E+04  2.414857468E+02  3.306276145E+02  2.722208592E+02  2.656051303E+02  5.192253777E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.237743311E+04  2.503034189E+02  3.303117321E+02  2.717010167E+02  2.687480034E+02  4.857087787E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.183243628E+04  2.584637740E+02  3.300590851E+02  2.712856510E+02  2.714910390E+02  4.543894143E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.129033887E+04  2.666377194E+02  3.297689595E+02  2.708092549E+02  2.744738426E+02  4.241642593E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.074316980E+04  2.746967213E+02  3.294977856E+02  2.703644063E+02  2.775599842E+02  3.951300345E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.023324121E+04  2.824979023E+02  3.292878296E+02  2.700204058E+02  2.803480005E+02  3.664128658E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.994855800E+04  2.897042158E+02  3.291466712E+02  2.697893558E+02  2.822555780E+02  3.374764309E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  8.009729211E+04  2.954815012E+02  3.291237595E+02  2.697518781E+02  2.826838789E+02  3.104043349E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.039027728E+04  3.007557396E+02  3.292081904E+02  2.698900501E+02  2.825538973E+02  2.837262968E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.094892290E+04  3.057350886E+02  3.293230998E+02  2.700779689E+02  2.814609923E+02  2.545405406E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.217664560E+04  3.085045458E+02  3.299319015E+02  2.710773169E+02  2.780447165E+02  2.277154300E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.374716357E+04  3.101880808E+02  3.308788080E+02  2.726359692E+02  2.734716759E+02  2.019892083E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.564215137E+04  3.106037216E+02  3.319596901E+02  2.744205589E+02  2.677728863E+02  1.786468728E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.777524219E+04  3.096125665E+02  3.331185427E+02  2.763403239E+02  2.610961289E+02  1.592114517E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  9.001492310E+04  3.073464761E+02  3.342808499E+02  2.782718024E+02  2.540034161E+02  1.454529304E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.214237549E+04  3.043061161E+02  3.354001493E+02  2.801378698E+02  2.472586355E+02  1.379191391E-01 
        44  3.781448665E-02  1.220744111E-01  6.730672953E-02  9.391308447E+04  3.010513134E+02  3.363554907E+02  2.817357359E+02  2.415981841E+02  1.365694134E-01 
        45  3.826762164E-02  1.224563704E-01  7.025293559E-02  9.516121490E+04  2.981662214E+02  3.370878141E+02  2.829634645E+02  2.373606657E+02  1.392323364E-01 
        46  3.856443464E-02  1.228195695E-01  7.317567491E-02  9.588877734E+04  2.962567596E+02  3.375675659E+02  2.837690887E+02  2.351836014E+02  1.445041560E-01 
        47  3.882754171E-02  1.231963568E-01  7.616928387E-02  9.620098953E+04  2.949902468E+02  3.380898191E+02  2.846493219E+02  2.340463310E+02  1.507766881E-01 
        48  3.896508106E-02  1.235573809E-01  7.913505459E-02  9.624208203E+04  2.914629440E+02  3.390200500E+02  2.862299423E+02  2.284802017E+02  1.548848599E-01 
        49  3.903512947E-02  1.239238609E-01  8.213137167E-02  9.622086731E+04  2.833529768E+02  3.407855232E+02  2.892406151E+02  2.144126559E+02  1.593083881E-01 
        50  3.900153017E-02  1.243001337E-01  8.510504302E-02  9.635651199E+04  2.692058344E+02  3.437742302E+02  2.943496115E+02  1.891972172E+02  1.626402219E-01 
        51  3.889299026E-02  1.246700891E-01  8.806950082E-02  9.647053833E+04  2.530627992E+02  3.473377914E+02  3.004852726E+02  1.501591156E+02  1.438736353E-01 
        52  3.870303970E-02  1.250405990E-01  9.105247242E-02  9.637632031E+04  2.444604087E+02  3.500690684E+02  3.052070427E+02  1.145923070E+02  6.793317705E-02 
        53  3.847530202E-02  1.253810613E-01  9.402032493E-02  9.705230267E+04  2.420910786E+02  3.519630930E+02  3.085109291E+02  8.186905448E+01 -2.037736988E-01 
        54  3.809583015E-02  1.257752167E-01  9.695318516E-02  9.928248730E+04  2.400832520E+02  3.532410431E+02  3.107435150E+02  5.513292551E+01 -6.228636019E-01 
        55  3.767199372E-02  1.261489404E-01  9.992435767E-02  1.020158218E+05  2.393714104E+02  3.539612188E+02  3.120027876E+02  4.923645496E+01 -5.345626790E-01 
        56  3.723780727E-02  1.265196365E-01  1.028569506E-01  1.044976756E+05  2.372568097E+02  3.538257470E+02  3.117634425E+02  6.139802992E+01 -1.932739243E-01 
        57  3.672955052E-02  1.269046997E-01  1.057947981E-01  1.059444952E+05  2.374002433E+02  3.522752848E+02  3.090430512E+02  9.042694402E+01  1.748607703E-02 
        58  3.615520807E-02  1.273091289E-01  1.087154776E-01  1.067283518E+05  2.427120490E+02  3.495690842E+02  3.043198042E+02  1.283146696E+02  1.285711122E-01 
        59  3.556812424E-02  1.277144368E-01  1.116309472E-01  1.072704531E+05  2.527922795E+02  3.465966482E+02  2.991638381E+02  1.637567047E+02  1.776580878E-01 
