nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755018863E+04  1.539441056E+02  3.330507990E+02  2.762255026E+02  2.357948690E+02  8.594770564E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746787653E+04  1.544273241E+02  3.330059518E+02  2.761511612E+02  2.363460224E+02  8.589675436E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736351422E+04  1.550540442E+02  3.329491959E+02  2.760570326E+02  2.370226824E+02  8.582138098E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.724917981E+04  1.557447751E+02  3.328892388E+02  2.759576058E+02  2.377635105E+02  8.574051615E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712703540E+04  1.564456720E+02  3.328265314E+02  2.758536563E+02  2.385202818E+02  8.566456307E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697774902E+04  1.572194672E+02  3.327488413E+02  2.757248693E+02  2.394354787E+02  8.560924511E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679815332E+04  1.580678630E+02  3.326536903E+02  2.755672350E+02  2.404498930E+02  8.555202652E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658437488E+04  1.590582523E+02  3.325385513E+02  2.753764720E+02  2.415861959E+02  8.546454739E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.635195422E+04  1.602493744E+02  3.324121389E+02  2.751671798E+02  2.428608947E+02  8.532100450E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.616149988E+04  1.615042820E+02  3.323090427E+02  2.749964991E+02  2.439564023E+02  8.508365890E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.610694879E+04  1.625816138E+02  3.322811865E+02  2.749504039E+02  2.446637818E+02  8.480679553E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.628406699E+04  1.630638326E+02  3.323793718E+02  2.751129243E+02  2.443820865E+02  8.450330407E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.672584375E+04  1.625546961E+02  3.326173449E+02  2.755070181E+02  2.430655074E+02  8.437692020E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.744729150E+04  1.606090956E+02  3.330024090E+02  2.761453323E+02  2.407017641E+02  8.467957191E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.847108691E+04  1.565737171E+02  3.335468655E+02  2.770491791E+02  2.373047895E+02  8.580255844E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.947412866E+04  1.496223068E+02  3.340505323E+02  2.778866320E+02  2.341015520E+02  8.863063082E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.726828845E+04  1.467564847E+02  3.329024801E+02  2.759812233E+02  2.437547095E+02  9.353023898E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.597069104E+04  1.736495109E+02  3.264188433E+02  2.653351560E+02  2.843174586E+02  9.432751518E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.018422729E+04  2.073792813E+02  3.229266820E+02  2.596888227E+02  3.062352428E+02  8.500132682E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.262820811E+04  2.120603666E+02  3.245060960E+02  2.622381958E+02  2.979041484E+02  7.898630877E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.625968970E+04  2.086995935E+02  3.267001748E+02  2.657954524E+02  2.852415969E+02  7.576635722E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.872156274E+04  2.084860066E+02  3.280618571E+02  2.680140253E+02  2.767569145E+02  7.270140009E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.030192050E+04  2.112443569E+02  3.289166863E+02  2.694117993E+02  2.717563221E+02  6.947901017E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.145863519E+04  2.157840341E+02  3.295999759E+02  2.705323330E+02  2.682168192E+02  6.589285797E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.250907941E+04  2.207295010E+02  3.302181580E+02  2.715480437E+02  2.650535829E+02  6.224752893E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.330196423E+04  2.261122632E+02  3.306738667E+02  2.722974896E+02  2.629592199E+02  5.878073182E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.351228339E+04  2.329031768E+02  3.308131528E+02  2.725265927E+02  2.630999076E+02  5.539784865E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.305015903E+04  2.413383283E+02  3.306378917E+02  2.722378530E+02  2.654595669E+02  5.194965991E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.242976050E+04  2.502305614E+02  3.303068309E+02  2.716930789E+02  2.686534609E+02  4.857576282E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.187117627E+04  2.584606419E+02  3.300362246E+02  2.712480996E+02  2.714774914E+02  4.543695240E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.131947937E+04  2.665938427E+02  3.297317176E+02  2.707480054E+02  2.743904819E+02  4.241047059E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.076045715E+04  2.746096582E+02  3.294386020E+02  2.702670810E+02  2.773940027E+02  3.949828371E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.023547461E+04  2.824090463E+02  3.292128868E+02  2.698970971E+02  2.801882907E+02  3.662802982E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.994324141E+04  2.896130278E+02  3.290899270E+02  2.696958880E+02  2.821473526E+02  3.375409073E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  8.010607077E+04  2.954130877E+02  3.291056452E+02  2.697219765E+02  2.826109179E+02  3.104835589E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.041633865E+04  3.007039263E+02  3.292187771E+02  2.699072976E+02  2.824837863E+02  2.837280994E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.097098391E+04  3.057257833E+02  3.293478795E+02  2.701185863E+02  2.814791367E+02  2.546687334E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.219047943E+04  3.085476412E+02  3.299408488E+02  2.710919867E+02  2.781166694E+02  2.277827780E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.374555005E+04  3.102176962E+02  3.308786135E+02  2.726356544E+02  2.735088310E+02  2.019914770E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.562180908E+04  3.106868591E+02  3.319486809E+02  2.744022293E+02  2.678573551E+02  1.785326255E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.773438306E+04  3.097462397E+02  3.331006413E+02  2.763105230E+02  2.612184324E+02  1.589580011E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  8.996664453E+04  3.074499416E+02  3.342690463E+02  2.782522063E+02  2.540961056E+02  1.452440864E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.210844629E+04  3.043504295E+02  3.354000168E+02  2.801376390E+02  2.473012285E+02  1.378319431E-01 
        44  3.781448665E-02  1.220744111E-01  6.730672953E-02  9.390426807E+04  3.011130123E+02  3.363518448E+02  2.817295685E+02  2.416758466E+02  1.365199946E-01 
        45  3.826762164E-02  1.224563704E-01  7.025293559E-02  9.516540076E+04  2.982782512E+02  3.370658412E+02  2.829265504E+02  2.375616122E+02  1.394067392E-01 
        46  3.856443464E-02  1.228195695E-01  7.317567491E-02  9.589856641E+04  2.961683807E+02  3.375747223E+02  2.837811966E+02  2.350116119E+02  1.443424411E-01 
        47  3.882754171E-02  1.231963568E-01  7.616928387E-02  9.623387128E+04  2.947602683E+02  3.381399851E+02  2.847337310E+02  2.336942070E+02  1.506798358E-01 
        48  3.896508106E-02  1.235573809E-01  7.913505459E-02  9.631680273E+04  2.913293076E+02  3.390698090E+02  2.863142357E+02  2.284568596E+02  1.556477137E-01 
        49  3.903512947E-02  1.239238609E-01  8.213137167E-02  9.635611792E+04  2.830444384E+02  3.408647707E+02  2.893762927E+02  2.144173598E+02  1.619308833E-01 
        50  3.900153017E-02  1.243001337E-01  8.510504302E-02  9.631259766E+04  2.691053911E+02  3.437689559E+02  2.943398478E+02  1.890403808E+02  1.626694013E-01 
        51  3.889299026E-02  1.246700891E-01  8.806950082E-02  9.617900635E+04  2.533733602E+02  3.472202559E+02  3.002846546E+02  1.495864575E+02  1.415780577E-01 
        52  3.870303970E-02  1.250405990E-01  9.105247242E-02  9.632864258E+04  2.439307852E+02  3.501092458E+02  3.052766819E+02  1.128853353E+02  6.664774369E-02 
        53  3.847530202E-02  1.253810613E-01  9.402032493E-02  9.706542322E+04  2.416805400E+02  3.520058305E+02  3.085860196E+02  8.017674340E+01 -2.030148196E-01 
        54  3.809583015E-02  1.257752167E-01  9.695318516E-02  9.918244238E+04  2.399426117E+02  3.532681160E+02  3.107912254E+02  5.357032442E+01 -6.645869911E-01 
        55  3.767199372E-02  1.261489404E-01  9.992435767E-02  1.017182952E+05  2.394943118E+02  3.538168926E+02  3.117484164E+02  4.747349429E+01 -6.050264854E-01 
        56  3.723780727E-02  1.265196365E-01  1.028569506E-01  1.041534836E+05  2.374790947E+02  3.536197822E+02  3.114008058E+02  6.020854634E+01 -2.209441410E-01 
        57  3.672955052E-02  1.269046997E-01  1.057947981E-01  1.058984366E+05  2.376380541E+02  3.521939487E+02  3.089009647E+02  9.083151281E+01  1.497713593E-02 
        58  3.615520807E-02  1.273091289E-01  1.087154776E-01  1.070281475E+05  2.433913441E+02  3.496189823E+02  3.044072266E+02  1.302481914E+02  1.296829674E-01 
        59  3.556812424E-02  1.277144368E-01  1.116309472E-01  1.075270648E+05  2.535519314E+02  3.466271267E+02  2.992169638E+02  1.655797197E+02  1.783255475E-01 
        60  3.495651588E-02  1.281329458E-01  1.145394580E-01  1.076380693E+05  2.626602168E+02  3.443278484E+02  2.952532282E+02  1.875547743E+02  1.936700833E-01 
        61  3.433795015E-02  1.285471243E-01  1.174457346E-01  1.077003307E+05  2.679707050E+02  3.432249060E+02  2.933605051E+02  1.971674869E+02  1.948105809E-01 
        62  3.376061330E-02  1.289460490E-01  1.203607660E-01  1.077795386E+05  2.704835088E+02  3.429391711E+02  2.928715210E+02  2.001378601E+02  1.912775841E-01 
        63  3.331803132E-02  1.293309423E-01  1.232882868E-01  1.078277224E+05  2.719459909E+02  3.429436343E+02  2.928791358E+02  2.009890970E+02  1.871586785E-01 
        64  3.310586596E-02  1.296649637E-01  1.262581306E-01  1.078015980E+05  2.730151918E+02  3.429847505E+02  2.929493394E+02  2.013817228E+02  1.839031677E-01 
        65  3.306639982E-02  1.299493947E-01  1.292495641E-01  1.077040285E+05  2.738767878E+02  3.429950675E+02  2.929669394E+02  2.018009506E+02  1.820153923E-01 
        66  3.322486525E-02  1.302097713E-01  1.322380794E-01  1.075602097E+05  2.747404656E+02  3.429544801E+02  2.928976343E+02  2.026004302E+02  1.816562829E-01 
        67  3.356462385E-02  1.304573038E-01  1.352130229E-01  1.074001526E+05  2.756714438E+02  3.428878465E+02  2.927837950E+02  2.037092135E+02  1.823263481E-01 
        68  3.400410102E-02  1.306751199E-01  1.381765647E-01  1.072148207E+05  2.766295726E+02  3.428070621E+02  2.926458938E+02  2.049779673E+02  1.833024404E-01 
        69  3.451963359E-02  1.308741206E-01  1.411278790E-01  1.069791093E+05  2.776213274E+02  3.427157497E+02  2.924899995E+02  2.064270709E+02  1.847682162E-01 
        70  3.508991352E-02  1.310576265E-01  1.440660380E-01  1.067066923E+05  2.787600701E+02  3.425950122E+02  2.922839584E+02  2.080652516E+02  1.860448951E-01 
        71  3.570211579E-02  1.312503676E-01  1.470000000E-01  1.063210010E+05  2.800874062E+02  3.424424858E+02  2.920247002E+02  2.099969540E+02  1.869816110E-01 
        72 -2.843361623E-02  1.708417341E-01 -4.258217492E-02  8.203315454E+04  1.837774663E+02  3.299696360E+02  2.711382713E+02  3.443146763E+02  1.007635888E+00 
        73 -2.838826984E-02  1.709653765E-01 -3.916427879E-02  8.199532904E+04  1.842373316E+02  3.299543021E+02  2.711131127E+02  3.446282749E+02  1.006633504E+00 
        74 -2.835908450E-02  1.711140563E-01 -3.574649433E-02  8.231347235E+04  1.838627948E+02  3.301512375E+02  2.714368963E+02  3.437607281E+02  1.006351535E+00 
        75 -2.838361088E-02  1.712589164E-01 -3.232950605E-02  8.300683960E+04  1.829573321E+02  3.305339775E+02  2.720666885E+02  3.423016233E+02  1.006856758E+00 
        76 -2.841360827E-02  1.714319125E-01 -2.891476756E-02  8.385584155E+04  1.812487516E+02  3.310351944E+02  2.728922968E+02  3.399587522E+02  1.008590113E+00 
        77 -2.833774301E-02  1.716334782E-01 -2.549995819E-02  8.446487448E+04  1.801139880E+02  3.313587416E+02  2.734259349E+02  3.387619160E+02  1.010434743E+00 
        78 -2.791452343E-02  1.719215161E-01 -2.212016887E-02  8.462917822E+04  1.794291763E+02  3.314496136E+02  2.735759201E+02  3.384320850E+02  1.012266200E+00 
