nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.754771408E+04  1.539557225E+02  3.330493286E+02  2.762230870E+02  2.357966921E+02  8.594202658E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746433130E+04  1.544345803E+02  3.330051731E+02  2.761498851E+02  2.363421978E+02  8.589160193E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.735910944E+04  1.550420142E+02  3.329496834E+02  2.760578520E+02  2.370004119E+02  8.582011145E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.724731921E+04  1.556961920E+02  3.328923326E+02  2.759627657E+02  2.377069175E+02  8.574724626E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.714047095E+04  1.563692765E+02  3.328356237E+02  2.758687468E+02  2.384548888E+02  8.568463549E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.701216016E+04  1.571015029E+02  3.327683296E+02  2.757571859E+02  2.393641691E+02  8.565133922E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.682745337E+04  1.579739270E+02  3.326708736E+02  2.755957441E+02  2.403744235E+02  8.557878193E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.661460120E+04  1.589757941E+02  3.325559630E+02  2.754053783E+02  2.414926014E+02  8.547785338E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.639001086E+04  1.601568599E+02  3.324312253E+02  2.751987944E+02  2.427959335E+02  8.535096943E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.616390985E+04  1.614626281E+02  3.323083568E+02  2.749954798E+02  2.439697652E+02  8.511274336E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.605840497E+04  1.626081791E+02  3.322559915E+02  2.749087154E+02  2.447028415E+02  8.480476707E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.620916602E+04  1.630947896E+02  3.323393313E+02  2.750466981E+02  2.444908310E+02  8.452581237E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.660924878E+04  1.627836819E+02  3.325537243E+02  2.754016361E+02  2.433465204E+02  8.435020465E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.748071924E+04  1.606121464E+02  3.330198708E+02  2.761743279E+02  2.406217108E+02  8.465020321E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.855198389E+04  1.564933634E+02  3.335803185E+02  2.771048088E+02  2.371506557E+02  8.579953238E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.934156396E+04  1.500542893E+02  3.339725246E+02  2.777568741E+02  2.341482177E+02  8.842491917E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.744792969E+04  1.460786227E+02  3.330420294E+02  2.762126267E+02  2.420993416E+02  9.334838716E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.573530127E+04  1.740782235E+02  3.263878303E+02  2.652851710E+02  2.841247101E+02  9.402162042E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.977226746E+04  2.070914283E+02  3.228314033E+02  2.595358744E+02  3.043849146E+02  8.435522658E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.272079453E+04  2.117375919E+02  3.245562885E+02  2.623204409E+02  2.976789931E+02  7.907571688E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.643776062E+04  2.090506662E+02  3.267540152E+02  2.658833666E+02  2.865528848E+02  7.611212879E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.877762584E+04  2.089205660E+02  3.281874902E+02  2.682195598E+02  2.780711539E+02  7.298005513E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.033218863E+04  2.112127388E+02  3.291561741E+02  2.698043134E+02  2.719729256E+02  6.958475241E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.156243619E+04  2.155403281E+02  3.298503305E+02  2.709434172E+02  2.678616679E+02  6.590457829E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.265664722E+04  2.204168830E+02  3.303993068E+02  2.718458939E+02  2.645414813E+02  6.223961106E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.341089172E+04  2.259407456E+02  3.307197595E+02  2.723730264E+02  2.626331701E+02  5.876295827E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.353481207E+04  2.329910583E+02  3.306974821E+02  2.723361893E+02  2.630669725E+02  5.534286890E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.302768307E+04  2.415597227E+02  3.303936956E+02  2.718361309E+02  2.656040923E+02  5.188122733E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.241390747E+04  2.506178241E+02  3.300014355E+02  2.711912105E+02  2.689220909E+02  4.845746299E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.189936902E+04  2.587015235E+02  3.297431791E+02  2.707667243E+02  2.714646235E+02  4.528935989E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.136271045E+04  2.665810263E+02  3.294792261E+02  2.703334918E+02  2.740879302E+02  4.229055643E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.077855432E+04  2.744788051E+02  3.292003298E+02  2.698760114E+02  2.769877262E+02  3.940600236E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.022355170E+04  2.823179090E+02  3.289492520E+02  2.694643266E+02  2.798265700E+02  3.653552553E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.993118303E+04  2.895761897E+02  3.288163376E+02  2.692466255E+02  2.818466625E+02  3.365718532E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  8.010639365E+04  2.954490910E+02  3.288960533E+02  2.693771570E+02  2.823731970E+02  3.093634974E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.042075702E+04  3.007410927E+02  3.290932128E+02  2.697002970E+02  2.823035868E+02  2.828511453E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.091343132E+04  3.058506595E+02  3.293203537E+02  2.700729455E+02  2.815183231E+02  2.541771344E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.206177802E+04  3.087560719E+02  3.299286065E+02  2.710717967E+02  2.783038064E+02  2.274383564E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.356306226E+04  3.104710960E+02  3.308086052E+02  2.725201921E+02  2.737768383E+02  2.017077291E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.542054004E+04  3.109322243E+02  3.318572884E+02  2.742512035E+02  2.681205158E+02  1.782714576E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.757777319E+04  3.099456110E+02  3.330370045E+02  2.762050004E+02  2.614580965E+02  1.588355019E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  8.991486023E+04  3.075349064E+02  3.342423315E+02  2.782079058E+02  2.541844034E+02  1.451471192E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.219084155E+04  3.041872101E+02  3.354111652E+02  2.801567364E+02  2.471192999E+02  1.380832810E-01 
