nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.756733688E+04  1.535906417E+02  3.330853862E+02  2.762830071E+02  2.353870985E+02  8.600235917E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.748982465E+04  1.544792967E+02  3.330083696E+02  2.761551898E+02  2.364702772E+02  8.591900982E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.738876068E+04  1.549515538E+02  3.329687629E+02  2.760895336E+02  2.369374107E+02  8.585218904E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.725389575E+04  1.556406953E+02  3.329036622E+02  2.759816604E+02  2.376187675E+02  8.575697811E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.711236328E+04  1.565060329E+02  3.328161211E+02  2.758365836E+02  2.384547610E+02  8.562548440E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697475854E+04  1.572581000E+02  3.327400570E+02  2.757104836E+02  2.393708897E+02  8.557742238E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679857300E+04  1.580891314E+02  3.326444941E+02  2.755520678E+02  2.405355906E+02  8.557820134E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658668677E+04  1.589574277E+02  3.325401440E+02  2.753792238E+02  2.415020337E+02  8.549203034E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.631609229E+04  1.603367946E+02  3.323801403E+02  2.751143024E+02  2.430140865E+02  8.532741033E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.609377917E+04  1.615944713E+02  3.322745190E+02  2.749394474E+02  2.439230328E+02  8.502763268E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.603152127E+04  1.624878974E+02  3.322567366E+02  2.749100013E+02  2.444997544E+02  8.479921173E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.620400333E+04  1.631170396E+02  3.323454572E+02  2.750568537E+02  2.446292908E+02  8.457147423E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.667751392E+04  1.628696346E+02  3.325669231E+02  2.754236364E+02  2.433212767E+02  8.430201840E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.749417578E+04  1.607657318E+02  3.330056133E+02  2.761507130E+02  2.407628222E+02  8.461920135E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.863784570E+04  1.561197262E+02  3.336432114E+02  2.772092867E+02  2.369415483E+02  8.594771065E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.947134839E+04  1.496415677E+02  3.340398569E+02  2.778690243E+02  2.340721006E+02  8.864318710E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.740782861E+04  1.441833361E+02  3.331003323E+02  2.763106875E+02  2.407518542E+02  9.399444079E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.553573096E+04  1.734567060E+02  3.263375778E+02  2.652049751E+02  2.838532529E+02  9.420219120E-01 
