nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.756700023E+04  1.536479465E+02  3.330776770E+02  2.762701654E+02  2.355483509E+02  8.602854270E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747381137E+04  1.543813387E+02  3.330105566E+02  2.761588802E+02  2.364215827E+02  8.595558545E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.738373096E+04  1.550079528E+02  3.329562435E+02  2.760687819E+02  2.370107703E+02  8.584495774E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.726957507E+04  1.556703327E+02  3.328978839E+02  2.759720206E+02  2.376005330E+02  8.573034061E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712551587E+04  1.564673367E+02  3.328177595E+02  2.758391566E+02  2.385741363E+02  8.567745592E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.695816919E+04  1.572761984E+02  3.327322283E+02  2.756974683E+02  2.394979696E+02  8.560917825E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.676613745E+04  1.581089416E+02  3.326315794E+02  2.755307274E+02  2.403590050E+02  8.550848942E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.656646973E+04  1.590795116E+02  3.325225372E+02  2.753500876E+02  2.415206537E+02  8.543760478E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.633856458E+04  1.602349923E+02  3.324028320E+02  2.751518562E+02  2.428936265E+02  8.534142626E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.615043890E+04  1.615684509E+02  3.323007457E+02  2.749828069E+02  2.440568972E+02  8.507857695E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.603320724E+04  1.625666830E+02  3.322552710E+02  2.749075843E+02  2.448928318E+02  8.489968027E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.620928540E+04  1.633762087E+02  3.323279994E+02  2.750279785E+02  2.445199288E+02  8.437563521E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.671821362E+04  1.627899280E+02  3.325919161E+02  2.754649668E+02  2.431511345E+02  8.427969627E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.759204443E+04  1.604330740E+02  3.330797157E+02  2.762736263E+02  2.405451975E+02  8.473479822E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.857105615E+04  1.562733860E+02  3.336113815E+02  2.771564884E+02  2.369934454E+02  8.587466329E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.938230420E+04  1.500358663E+02  3.339960117E+02  2.777960129E+02  2.343840384E+02  8.851293083E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.720278223E+04  1.466548773E+02  3.328500700E+02  2.758945038E+02  2.421079168E+02  9.306908557E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.562241040E+04  1.747958667E+02  3.262838550E+02  2.651169157E+02  2.854891796E+02  9.427818544E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.991132642E+04  2.083406013E+02  3.228609679E+02  2.595833626E+02  3.075700347E+02  8.505153884E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.294366061E+04  2.134703029E+02  3.245737178E+02  2.623483623E+02  2.987759723E+02  7.863661428E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.666111554E+04  2.088276149E+02  3.269657435E+02  2.662276421E+02  2.844851329E+02  7.538608387E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.901153983E+04  2.094293471E+02  3.283321086E+02  2.684561172E+02  2.782024375E+02  7.274427416E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.059829757E+04  2.113328983E+02  3.293058886E+02  2.700507139E+02  2.724259356E+02  6.970110620E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.178072121E+04  2.155677030E+02  3.299380543E+02  2.710884201E+02  2.683591834E+02  6.610877709E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.277308813E+04  2.207346241E+02  3.304198892E+02  2.718804266E+02  2.654052117E+02  6.245100955E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.344912610E+04  2.260780232E+02  3.307572861E+02  2.724352851E+02  2.632084222E+02  5.896531176E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.354821710E+04  2.327124863E+02  3.307865403E+02  2.724834943E+02  2.631791811E+02  5.556435753E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.304390142E+04  2.414559353E+02  3.304517808E+02  2.719322652E+02  2.663062026E+02  5.222659349E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.240977173E+04  2.504692574E+02  3.300539777E+02  2.712780412E+02  2.701684870E+02  4.900557187E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.184649066E+04  2.585478494E+02  3.297943964E+02  2.708513112E+02  2.727765989E+02  4.585223296E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.129284778E+04  2.667257190E+02  3.295000572E+02  2.703682566E+02  2.749998369E+02  4.255004996E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.073255811E+04  2.751559496E+02  3.291542664E+02  2.698011417E+02  2.776118085E+02  3.926893133E-01 
