nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.754922830E+04  1.539462222E+02  3.330502597E+02  2.762246362E+02  2.357958688E+02  8.594686178E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746632190E+04  1.544293156E+02  3.330051690E+02  2.761498536E+02  2.363457502E+02  8.589547386E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736218335E+04  1.550542895E+02  3.329484348E+02  2.760557508E+02  2.370203896E+02  8.582034176E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.724833838E+04  1.557426028E+02  3.328887901E+02  2.759568295E+02  2.377602096E+02  8.574052351E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712647461E+04  1.564446077E+02  3.328263302E+02  2.758533168E+02  2.385167646E+02  8.566390164E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697750464E+04  1.572210093E+02  3.327488317E+02  2.757248559E+02  2.394327636E+02  8.560746387E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679836353E+04  1.580723014E+02  3.326537952E+02  2.755674057E+02  2.404494829E+02  8.554953709E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658546497E+04  1.590636058E+02  3.325389557E+02  2.753771639E+02  2.415857563E+02  8.546155673E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.635517761E+04  1.602460384E+02  3.324138761E+02  2.751700776E+02  2.428540547E+02  8.532060757E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.616948462E+04  1.614826396E+02  3.323138425E+02  2.750044146E+02  2.439375575E+02  8.508947352E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.611771884E+04  1.625555695E+02  3.322874054E+02  2.749607004E+02  2.446387105E+02  8.481293372E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.628453372E+04  1.630630943E+02  3.323790380E+02  2.751123935E+02  2.443791492E+02  8.450325048E-01 
