nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.754753419E+04  1.539514199E+02  3.330493362E+02  2.762230892E+02  2.357978212E+02  8.594465429E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746487848E+04  1.544325312E+02  3.330045232E+02  2.761487802E+02  2.363440782E+02  8.589299601E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736209906E+04  1.550537463E+02  3.329484084E+02  2.760557070E+02  2.370152647E+02  8.581869919E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.724831323E+04  1.557391307E+02  3.328887262E+02  2.759567604E+02  2.377549117E+02  8.574055415E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712532324E+04  1.564421043E+02  3.328259153E+02  2.758526196E+02  2.385100574E+02  8.566285875E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697653394E+04  1.572197723E+02  3.327486534E+02  2.757245641E+02  2.394271955E+02  8.560614921E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679826587E+04  1.580759487E+02  3.326539507E+02  2.755676651E+02  2.404455581E+02  8.554625474E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658899487E+04  1.590650241E+02  3.325409870E+02  2.753805227E+02  2.415790834E+02  8.545871582E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.636731921E+04  1.602258370E+02  3.324209962E+02  2.751818655E+02  2.428350492E+02  8.532581860E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.619123700E+04  1.614377639E+02  3.323264506E+02  2.750252864E+02  2.438993490E+02  8.510201424E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.613478015E+04  1.625297876E+02  3.322961055E+02  2.749751539E+02  2.446042783E+02  8.481613128E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.627395651E+04  1.630974875E+02  3.323708227E+02  2.750987715E+02  2.444171312E+02  8.449774454E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.668379248E+04  1.626507339E+02  3.325914860E+02  2.754642076E+02  2.432015042E+02  8.436961230E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.742324609E+04  1.606917553E+02  3.329869461E+02  2.761197147E+02  2.407591791E+02  8.465338685E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.853588867E+04  1.564625902E+02  3.335834694E+02  2.771099854E+02  2.372131929E+02  8.583434448E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.952212109E+04  1.494469733E+02  3.340748377E+02  2.779271441E+02  2.340694342E+02  8.871657494E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.733144739E+04  1.472400193E+02  3.328470912E+02  2.758893380E+02  2.435741527E+02  9.320602436E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.612007581E+04  1.738853624E+02  3.265205464E+02  2.655003290E+02  2.843106546E+02  9.418742582E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.010203259E+04  2.077399702E+02  3.228522286E+02  2.595697694E+02  3.061880460E+02  8.477606587E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.262236189E+04  2.119260477E+02  3.245214995E+02  2.622631724E+02  2.981533397E+02  7.915721438E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.625073126E+04  2.087631129E+02  3.267142782E+02  2.658182750E+02  2.853944108E+02  7.579141217E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.868725532E+04  2.086696611E+02  3.280846341E+02  2.680512602E+02  2.769224325E+02  7.266847533E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.027679657E+04  2.112943903E+02  3.289310549E+02  2.694352367E+02  2.717533858E+02  6.945304608E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.146279938E+04  2.158175003E+02  3.295957814E+02  2.705254436E+02  2.682133055E+02  6.587529711E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.254831396E+04  2.207601099E+02  3.302107582E+02  2.715359075E+02  2.650833642E+02  6.224320885E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.336282849E+04  2.261145308E+02  3.306714005E+02  2.722934213E+02  2.629653163E+02  5.878204461E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.356260437E+04  2.329406123E+02  3.308009567E+02  2.725065575E+02  2.631072998E+02  5.538048297E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.306668567E+04  2.414190194E+02  3.306054485E+02  2.721845306E+02  2.654782878E+02  5.191285236E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.242288336E+04  2.502675111E+02  3.302689400E+02  2.716308187E+02  2.686188297E+02  4.854178585E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.186132611E+04  2.584779739E+02  3.299967935E+02  2.711832912E+02  2.714713771E+02  4.542332799E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.130970251E+04  2.665849314E+02  3.296903820E+02  2.706800399E+02  2.743803525E+02  4.240987976E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.074812903E+04  2.745929163E+02  3.293849721E+02  2.701789062E+02  2.773407056E+02  3.948667683E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.021740295E+04  2.823954790E+02  3.291442553E+02  2.697842793E+02  2.800904815E+02  3.659783914E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.991850493E+04  2.895818073E+02  3.290257754E+02  2.695904799E+02  2.820322590E+02  3.372537552E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  8.008273547E+04  2.953726829E+02  3.290660994E+02  2.696569427E+02  2.825131602E+02  3.103072284E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.040476816E+04  3.006581085E+02  3.292024225E+02  2.698803329E+02  2.823884113E+02  2.835930582E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.096717598E+04  3.056837458E+02  3.293563498E+02  2.701324163E+02  2.814386993E+02  2.547350240E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.218781320E+04  3.085611012E+02  3.299458401E+02  2.711001445E+02  2.781745613E+02  2.279465366E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.373344214E+04  3.102499189E+02  3.308738136E+02  2.726277781E+02  2.735703697E+02  2.020709096E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.559991309E+04  3.107536354E+02  3.319381275E+02  2.743847370E+02  2.679400539E+02  1.785017122E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.770674585E+04  3.098583145E+02  3.330868206E+02  2.762875590E+02  2.613316593E+02  1.587892310E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  8.994213599E+04  3.075415769E+02  3.342604876E+02  2.782380180E+02  2.541805639E+02  1.450692213E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.209723584E+04  3.043697548E+02  3.354042110E+02  2.801447096E+02  2.473160181E+02  1.377803995E-01 
        44  3.781448665E-02  1.220744111E-01  6.730672953E-02  9.391452905E+04  3.010942287E+02  3.363671427E+02  2.817552147E+02  2.416397009E+02  1.364732939E-01 
        45  3.826762164E-02  1.224563704E-01  7.025293559E-02  9.520395471E+04  2.983099277E+02  3.370757494E+02  2.829432821E+02  2.376371106E+02  1.395353721E-01 
        46  3.856443464E-02  1.228195695E-01  7.317567491E-02  9.597119922E+04  2.960936508E+02  3.376011658E+02  2.838258591E+02  2.349845810E+02  1.447105706E-01 
        47  3.882754171E-02  1.231963568E-01  7.616928387E-02  9.635527609E+04  2.944234138E+02  3.382216938E+02  2.848714130E+02  2.333746136E+02  1.513959595E-01 
        48  3.896508106E-02  1.235573809E-01  7.913505459E-02  9.647502930E+04  2.909672356E+02  3.391645889E+02  2.864739113E+02  2.282205315E+02  1.568678580E-01 
        49  3.903512947E-02  1.239238609E-01  8.213137167E-02  9.646079712E+04  2.827245309E+02  3.409394913E+02  2.895025837E+02  2.142895381E+02  1.636866333E-01 
        50  3.900153017E-02  1.243001337E-01  8.510504302E-02  9.633716537E+04  2.689397233E+02  3.438208532E+02  2.944297265E+02  1.889885826E+02  1.645986823E-01 
        51  3.889299026E-02  1.246700891E-01  8.806950082E-02  9.630601343E+04  2.528895299E+02  3.473294623E+02  3.004744945E+02  1.491032336E+02  1.451016704E-01 
        52  3.870303970E-02  1.250405990E-01  9.105247242E-02  9.633069971E+04  2.435999408E+02  3.501499972E+02  3.053478637E+02  1.117832987E+02  6.663280987E-02 
        53  3.847530202E-02  1.253810613E-01  9.402032493E-02  9.686475751E+04  2.416024493E+02  3.519153143E+02  3.084277159E+02  7.877150194E+01 -2.080639287E-01 
        54  3.809583015E-02  1.257752167E-01  9.695318516E-02  9.895685547E+04  2.401349983E+02  3.531898994E+02  3.106530609E+02  5.249591684E+01 -7.100741379E-01 
        55  3.767199372E-02  1.261489404E-01  9.992435767E-02  1.015831968E+05  2.395843568E+02  3.537553225E+02  3.116398072E+02  4.639529300E+01 -6.645212080E-01 
        56  3.723780727E-02  1.265196365E-01  1.028569506E-01  1.041327171E+05  2.375445375E+02  3.535663095E+02  3.113068689E+02  5.986413413E+01 -2.378453935E-01 
        57  3.672955052E-02  1.269046997E-01  1.057947981E-01  1.058199829E+05  2.378949163E+02  3.520996265E+02  3.087357211E+02  9.118007970E+01  1.124338550E-02 
        58  3.615520807E-02  1.273091289E-01  1.087154776E-01  1.068506133E+05  2.435985208E+02  3.494664488E+02  3.041417437E+02  1.311609855E+02  1.308042216E-01 
        59  3.556812424E-02  1.277144368E-01  1.116309472E-01  1.075065911E+05  2.539791183E+02  3.465401683E+02  2.990662918E+02  1.669781508E+02  1.802120419E-01 
        60  3.495651588E-02  1.281329458E-01  1.145394580E-01  1.078055300E+05  2.632350235E+02  3.443602529E+02  2.953084283E+02  1.885324054E+02  1.933788555E-01 
        61  3.433795015E-02  1.285471243E-01  1.174457346E-01  1.077791177E+05  2.681788242E+02  3.432473340E+02  2.933987656E+02  1.972803631E+02  1.938945900E-01 
        62  3.376061330E-02  1.289460490E-01  1.203607660E-01  1.077414620E+05  2.703361328E+02  3.429174974E+02  2.928345163E+02  1.998595808E+02  1.911794995E-01 
        63  3.331803132E-02  1.293309423E-01  1.232882868E-01  1.077839891E+05  2.717266428E+02  3.429199481E+02  2.928386163E+02  2.007642543E+02  1.876974849E-01 
        64  3.310586596E-02  1.296649637E-01  1.262581306E-01  1.077919986E+05  2.728351393E+02  3.429764180E+02  2.929351296E+02  2.012771599E+02  1.846312907E-01 
        65  3.306639982E-02  1.299493947E-01  1.292495641E-01  1.077319171E+05  2.737169527E+02  3.430082353E+02  2.929894217E+02  2.017258566E+02  1.827226634E-01 
        66  3.322486525E-02  1.302097713E-01  1.322380794E-01  1.076317456E+05  2.746623811E+02  3.429820182E+02  2.929446565E+02  2.025444322E+02  1.819303157E-01 
        67  3.356462385E-02  1.304573038E-01  1.352130229E-01  1.075058663E+05  2.756324998E+02  3.429301949E+02  2.928561903E+02  2.036472269E+02  1.823413400E-01 
        68  3.400410102E-02  1.306751199E-01  1.381765647E-01  1.073263601E+05  2.765918109E+02  3.428594232E+02  2.927353096E+02  2.049112835E+02  1.832931254E-01 
        69  3.451963359E-02  1.308741206E-01  1.411278790E-01  1.070842596E+05  2.776618683E+02  3.427587109E+02  2.925633686E+02  2.064283230E+02  1.845277376E-01 
        70  3.508991352E-02  1.310576265E-01  1.440660380E-01  1.067862275E+05  2.788136353E+02  3.426304317E+02  2.923444207E+02  2.080551271E+02  1.856897806E-01 
        71  3.570211579E-02  1.312503676E-01  1.470000000E-01  1.063209316E+05  2.802341461E+02  3.424314880E+02  2.920058784E+02  2.101995144E+02  1.868299022E-01 
        72 -2.843361623E-02  1.708417341E-01 -4.258217492E-02  8.203068652E+04  1.837648907E+02  3.299711418E+02  2.711407251E+02  3.443028660E+02  1.007657684E+00 
