nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755800682E+04  1.536903369E+02  3.330753214E+02  2.762662424E+02  2.355853549E+02  8.601840611E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.745843875E+04  1.546619529E+02  3.329795544E+02  2.761073927E+02  2.366418999E+02  8.587788877E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.734752570E+04  1.550589125E+02  3.329414296E+02  2.760441992E+02  2.369258999E+02  8.578890902E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.721663318E+04  1.555027125E+02  3.329014521E+02  2.759779553E+02  2.374583507E+02  8.577506104E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.710228101E+04  1.563013244E+02  3.328284998E+02  2.758569999E+02  2.384294324E+02  8.572717533E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697275342E+04  1.571509743E+02  3.327487574E+02  2.757249150E+02  2.395126476E+02  8.569057267E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.676679736E+04  1.580128236E+02  3.326396389E+02  2.755440979E+02  2.403138351E+02  8.554348890E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.655729419E+04  1.590406466E+02  3.325260472E+02  2.753558693E+02  2.413668752E+02  8.540645484E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.636859424E+04  1.602757592E+02  3.324065948E+02  2.751580443E+02  2.429283183E+02  8.533700379E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.616278845E+04  1.614639758E+02  3.323099885E+02  2.749981420E+02  2.440347123E+02  8.513452765E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.606382928E+04  1.624852620E+02  3.322715956E+02  2.749346043E+02  2.445581952E+02  8.482188238E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.620415704E+04  1.630577940E+02  3.323527069E+02  2.750688291E+02  2.444600394E+02  8.453401490E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.672953809E+04  1.625692816E+02  3.326149035E+02  2.755030589E+02  2.430447755E+02  8.436616957E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.755067236E+04  1.606829786E+02  3.330283909E+02  2.761885681E+02  2.406169462E+02  8.461492918E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.861781592E+04  1.564165754E+02  3.336113510E+02  2.771563454E+02  2.371706276E+02  8.585968204E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.935919092E+04  1.497357683E+02  3.340005207E+02  2.778035707E+02  2.338759804E+02  8.852793276E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.750536804E+04  1.457305729E+02  3.330787125E+02  2.762738054E+02  2.430506926E+02  9.402853781E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.560970190E+04  1.789620275E+02  3.258840203E+02  2.644681039E+02  2.874711471E+02  9.294248912E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.990247711E+04  2.096095091E+02  3.227255859E+02  2.593665521E+02  3.097909093E+02  8.528853725E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.305364671E+04  2.123009314E+02  3.248601962E+02  2.628132377E+02  2.976628367E+02  7.879342602E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.661378528E+04  2.071149154E+02  3.271465561E+02  2.665223386E+02  2.816457930E+02  7.524624993E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.899554597E+04  2.070441853E+02  3.285532607E+02  2.688180145E+02  2.746370334E+02  7.268168866E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.061326883E+04  2.094236432E+02  3.295106600E+02  2.703859479E+02  2.695607155E+02  6.965941982E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.179198485E+04  2.143750166E+02  3.300899593E+02  2.713371276E+02  2.661352530E+02  6.595274061E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.277713812E+04  2.194355161E+02  3.305792699E+02  2.721424458E+02  2.634125679E+02  6.240453208E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.342882996E+04  2.247020414E+02  3.309028196E+02  2.726753407E+02  2.617000580E+02  5.911770547E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.349036243E+04  2.318346133E+02  3.308436821E+02  2.725777581E+02  2.622697282E+02  5.572490809E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.298431723E+04  2.407928016E+02  3.304938554E+02  2.720012716E+02  2.654644182E+02  5.227687345E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.241572766E+04  2.492230999E+02  3.302195785E+02  2.715503962E+02  2.679305538E+02  4.883669412E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.191300311E+04  2.575657434E+02  3.299116042E+02  2.710441689E+02  2.701848543E+02  4.544220236E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.136422205E+04  2.663448331E+02  3.294719052E+02  2.703226519E+02  2.735543127E+02  4.225532408E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.076387000E+04  2.748952703E+02  3.290588646E+02  2.696452012E+02  2.774803014E+02  3.939173841E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.018652072E+04  2.825037313E+02  3.288406291E+02  2.692871411E+02  2.805658803E+02  3.670634845E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.983642914E+04  2.892908842E+02  3.288159283E+02  2.692463469E+02  2.821346434E+02  3.389247725E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  7.992877686E+04  2.959075416E+02  3.288395755E+02  2.692850764E+02  2.830533656E+02  3.093002854E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.020659940E+04  3.020684301E+02  3.289818373E+02  2.695184374E+02  2.834410568E+02  2.800023723E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.079334154E+04  3.071790277E+02  3.293717794E+02  2.701576520E+02  2.825542378E+02  2.508657197E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.208284192E+04  3.100137181E+02  3.300808150E+02  2.713220521E+02  2.794704305E+02  2.250643462E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.382628613E+04  3.110282822E+02  3.310654678E+02  2.729438820E+02  2.744053364E+02  2.010324057E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.596520068E+04  3.105370388E+02  3.322827663E+02  2.749555473E+02  2.678683834E+02  1.793319704E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.834169092E+04  3.088252997E+02  3.335795918E+02  2.771059356E+02  2.604443994E+02  1.609656955E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  9.078512817E+04  3.059489198E+02  3.347763515E+02  2.790975056E+02  2.526259336E+02  1.479231960E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.303785205E+04  3.021706161E+02  3.358153353E+02  2.808319445E+02  2.451786537E+02  1.420328477E-01 
        44  3.781448665E-02  1.220744111E-01  6.730672953E-02  9.480919971E+04  2.983701944E+02  3.366671209E+02  2.822575493E+02  2.393030953E+02  1.432396099E-01 
        45  3.826762164E-02  1.224563704E-01  7.025293559E-02  9.597292194E+04  2.955052993E+02  3.372682846E+02  2.832661142E+02  2.356834680E+02  1.485927484E-01 
        46  3.856443464E-02  1.228195695E-01  7.317567491E-02  9.661735156E+04  2.936031570E+02  3.377051239E+02  2.840007248E+02  2.338151169E+02  1.553388946E-01 
        47  3.882754171E-02  1.231963568E-01  7.616928387E-02  9.684952948E+04  2.917516236E+02  3.383791244E+02  2.851371728E+02  2.314899377E+02  1.604964503E-01 
        48  3.896508106E-02  1.235573809E-01  7.913505459E-02  9.678119336E+04  2.875548210E+02  3.395417709E+02  2.871139870E+02  2.244318695E+02  1.643594205E-01 
        49  3.903512947E-02  1.239238609E-01  8.213137167E-02  9.662502637E+04  2.771660113E+02  3.417407858E+02  2.908731449E+02  2.060400801E+02  1.740171521E-01 
        50  3.900153017E-02  1.243001337E-01  8.510504302E-02  9.636638321E+04  2.592040137E+02  3.453086190E+02  2.969900593E+02  1.727877438E+02  1.869165025E-01 
        51  3.889299026E-02  1.246700891E-01  8.806950082E-02  9.602989349E+04  2.419451160E+02  3.489291997E+02  3.032387409E+02  1.264884083E+02  1.713163886E-01 
        52  3.870303970E-02  1.250405990E-01  9.105247242E-02  9.589281323E+04  2.339362416E+02  3.515965662E+02  3.078631325E+02  8.516725850E+01  5.385738923E-02 
        53  3.847530202E-02  1.253810613E-01  9.402032493E-02  9.627366898E+04  2.353867253E+02  3.524116406E+02  3.092878461E+02  5.152508426E+01 -4.267407474E-01 
        54  3.809583015E-02  1.257752167E-01  9.695318516E-02  9.702499707E+04  2.378117142E+02  3.527349129E+02  3.098478813E+02  4.151649141E+01 -1.529294908E+00 
        55  3.767199372E-02  1.261489404E-01  9.992435767E-02  9.825531323E+04  2.485571780E+02  3.524196692E+02  3.092909670E+02  4.782866180E+01 -1.925537243E+00 
        56  3.723780727E-02  1.265196365E-01  1.028569506E-01  9.976928745E+04  2.518830430E+02  3.512145586E+02  3.071802400E+02  6.942082435E+01 -1.058215098E+00 
        57  3.672955052E-02  1.269046997E-01  1.057947981E-01  1.015778323E+05  2.395205629E+02  3.497046046E+02  3.045436463E+02  1.096076369E+02  2.326480485E-02 
        58  3.615520807E-02  1.273091289E-01  1.087154776E-01  1.042986543E+05  2.344806933E+02  3.473869934E+02  3.005234632E+02  1.495172005E+02  2.761891959E-01 
        59  3.556812424E-02  1.277144368E-01  1.116309472E-01  1.066846771E+05  2.438423345E+02  3.449394860E+02  2.963011751E+02  1.750625746E+02  2.756576827E-01 
