nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.754923346E+04  1.539568938E+02  3.330492234E+02  2.762228767E+02  2.357977421E+02  8.594198367E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746536499E+04  1.544247868E+02  3.330065061E+02  2.761520479E+02  2.363240424E+02  8.589070833E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736564441E+04  1.550161012E+02  3.329550803E+02  2.760667956E+02  2.369709318E+02  8.582398179E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.726470630E+04  1.556525161E+02  3.329021707E+02  2.759790726E+02  2.376737242E+02  8.576036915E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.715467773E+04  1.563428726E+02  3.328413296E+02  2.758782334E+02  2.384612961E+02  8.570228126E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.699628760E+04  1.571397991E+02  3.327589569E+02  2.757417006E+02  2.393821011E+02  8.563631512E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.680773267E+04  1.580384846E+02  3.326585035E+02  2.755752707E+02  2.404025321E+02  8.555404041E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.661973572E+04  1.589588926E+02  3.325574484E+02  2.754078493E+02  2.414879537E+02  8.548781052E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.639121460E+04  1.600812414E+02  3.324371233E+02  2.752086394E+02  2.427181659E+02  8.536589090E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.617327478E+04  1.613401824E+02  3.323231106E+02  2.750198662E+02  2.438154113E+02  8.512476664E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.608741745E+04  1.625234744E+02  3.322720412E+02  2.749353025E+02  2.446499451E+02  8.483596274E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.618923935E+04  1.632509382E+02  3.323227348E+02  2.750191876E+02  2.447536658E+02  8.453328232E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.663318433E+04  1.629313312E+02  3.325543585E+02  2.754027505E+02  2.434859748E+02  8.431540839E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.751738135E+04  1.607762661E+02  3.330184536E+02  2.761720181E+02  2.406805105E+02  8.458683975E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.853455859E+04  1.565020695E+02  3.335763893E+02  2.770982351E+02  2.371910257E+02  8.580388837E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.949733936E+04  1.495095367E+02  3.340779171E+02  2.779322634E+02  2.340175972E+02  8.866905700E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.721674988E+04  1.465748352E+02  3.328948822E+02  2.759690149E+02  2.431034963E+02  9.351914898E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.569472437E+04  1.760674756E+02  3.262344928E+02  2.650356627E+02  2.855160050E+02  9.344178662E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.978782886E+04  2.097884476E+02  3.226251595E+02  2.592067094E+02  3.073544085E+02  8.422010206E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.286126532E+04  2.107367654E+02  3.247626953E+02  2.626552391E+02  2.956622396E+02  7.881771594E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.654684460E+04  2.078291408E+02  3.269372513E+02  2.661811330E+02  2.850681148E+02  7.617577990E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.883960512E+04  2.091893139E+02  3.281869268E+02  2.682183130E+02  2.788843679E+02  7.316285757E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.036397553E+04  2.116654854E+02  3.291057897E+02  2.697217057E+02  2.730863697E+02  6.977299183E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.154354907E+04  2.156386510E+02  3.298320705E+02  2.709134192E+02  2.683012252E+02  6.601407425E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.260936804E+04  2.204405398E+02  3.304089332E+02  2.718617835E+02  2.646657960E+02  6.227131314E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.337923694E+04  2.259572625E+02  3.307544403E+02  2.724302669E+02  2.626302290E+02  5.875335950E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.353965442E+04  2.330083210E+02  3.307443881E+02  2.724135432E+02  2.630180037E+02  5.531566213E-01 
