nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755467308E+04  1.538764130E+02  3.330534766E+02  2.762299698E+02  2.357410910E+02  8.596660814E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746723364E+04  1.543979681E+02  3.330079664E+02  2.761544895E+02  2.363440210E+02  8.591414369E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.738950781E+04  1.549926279E+02  3.329621420E+02  2.760785120E+02  2.370026087E+02  8.584933789E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.726777625E+04  1.556674511E+02  3.329001646E+02  2.759757819E+02  2.377227819E+02  8.577044765E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712303345E+04  1.564090405E+02  3.328260098E+02  2.758528495E+02  2.384877009E+02  8.567647580E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.699273267E+04  1.571342373E+02  3.327580156E+02  2.757401838E+02  2.393505406E+02  8.562943134E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.684602246E+04  1.579317632E+02  3.326777515E+02  2.756071901E+02  2.403014140E+02  8.557788134E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.664361169E+04  1.589287276E+02  3.325657873E+02  2.754216509E+02  2.414773092E+02  8.550167382E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.640923083E+04  1.601571703E+02  3.324344659E+02  2.752042458E+02  2.427932863E+02  8.535221433E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.618198840E+04  1.615449071E+02  3.323043411E+02  2.749889009E+02  2.440776863E+02  8.510886766E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.600828470E+04  1.628821054E+02  3.322124162E+02  2.748368618E+02  2.449545937E+02  8.474780817E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.612259888E+04  1.632456647E+02  3.323068235E+02  2.749929820E+02  2.446683617E+02  8.450185796E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.661682739E+04  1.626925812E+02  3.325700541E+02  2.754287171E+02  2.431857719E+02  8.433992360E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.748384277E+04  1.607386942E+02  3.330158997E+02  2.761677456E+02  2.406018791E+02  8.458369635E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.858805420E+04  1.565232038E+02  3.335930710E+02  2.771259508E+02  2.371254063E+02  8.578018770E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.948039722E+04  1.498819876E+02  3.340375109E+02  2.778649654E+02  2.342586594E+02  8.853291497E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.723430322E+04  1.476614463E+02  3.328146191E+02  2.758360200E+02  2.440292063E+02  9.320026198E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.565259192E+04  1.751729767E+02  3.263550439E+02  2.652334290E+02  2.866214914E+02  9.446930997E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.984995758E+04  2.084237289E+02  3.227892144E+02  2.594686036E+02  3.064321518E+02  8.451739359E-01 
