nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755095813E+04  1.539538764E+02  3.330514217E+02  2.762265473E+02  2.357993897E+02  8.594392219E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747285815E+04  1.544234468E+02  3.330097977E+02  2.761575305E+02  2.363362612E+02  8.589544026E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736903510E+04  1.550444824E+02  3.329533226E+02  2.760638130E+02  2.370099539E+02  8.582185139E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.724984912E+04  1.557346261E+02  3.328905139E+02  2.759597187E+02  2.377392414E+02  8.573744847E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.711873950E+04  1.564454594E+02  3.328230009E+02  2.758477907E+02  2.385115914E+02  8.566170260E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.696651099E+04  1.572146587E+02  3.327443666E+02  2.757174959E+02  2.394198704E+02  8.560631499E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.680216357E+04  1.580248747E+02  3.326576376E+02  2.755737791E+02  2.404016185E+02  8.555898387E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.662838171E+04  1.589272258E+02  3.325636005E+02  2.754179306E+02  2.414673357E+02  8.549656048E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.641342859E+04  1.600908513E+02  3.324459944E+02  2.752232516E+02  2.427246990E+02  8.536260463E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.619843701E+04  1.614148496E+02  3.323274117E+02  2.750269291E+02  2.438775468E+02  8.510567276E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.608498642E+04  1.626648732E+02  3.322623810E+02  2.749192989E+02  2.447317463E+02  8.478244678E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.620607541E+04  1.632645184E+02  3.323278601E+02  2.750276617E+02  2.446709768E+02  8.449306092E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.666501758E+04  1.627366834E+02  3.325759468E+02  2.754384537E+02  2.433548093E+02  8.437655307E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.752115283E+04  1.604814472E+02  3.330426960E+02  2.762121239E+02  2.406546440E+02  8.473516889E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.858818164E+04  1.563479824E+02  3.336094379E+02  2.771531067E+02  2.370417528E+02  8.584402353E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.935798120E+04  1.500738869E+02  3.339831190E+02  2.777744207E+02  2.343554955E+02  8.847238906E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.737505017E+04  1.459434284E+02  3.329829431E+02  2.761152830E+02  2.423094387E+02  9.354868373E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.589753748E+04  1.735352674E+02  3.264795122E+02  2.654340091E+02  2.835590796E+02  9.410430416E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.997470062E+04  2.087672592E+02  3.227515099E+02  2.594084973E+02  3.073303216E+02  8.474012492E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.269375444E+04  2.113434187E+02  3.245784834E+02  2.623556626E+02  2.975080956E+02  7.919967447E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.630551099E+04  2.083336506E+02  3.267952714E+02  2.659498160E+02  2.854895875E+02  7.603933136E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.867739332E+04  2.088259320E+02  3.281648283E+02  2.681823132E+02  2.772087449E+02  7.269494961E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.030107399E+04  2.113570914E+02  3.290444725E+02  2.696212326E+02  2.717313791E+02  6.941954981E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.153113811E+04  2.156812350E+02  3.296955651E+02  2.706891338E+02  2.680100482E+02  6.587934108E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.261808661E+04  2.206012115E+02  3.302510262E+02  2.716019170E+02  2.649157116E+02  6.227021287E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.339071631E+04  2.260622191E+02  3.306317511E+02  2.722281237E+02  2.629696970E+02  5.881192414E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.354307074E+04  2.329899867E+02  3.306951973E+02  2.723324928E+02  2.632240555E+02  5.539330444E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.304783628E+04  2.416154143E+02  3.304626549E+02  2.719495759E+02  2.657324861E+02  5.189585735E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.243411218E+04  2.503825458E+02  3.301595366E+02  2.714508477E+02  2.686783122E+02  4.849703205E-01 
