nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755950140E+04  1.537333389E+02  3.330632045E+02  2.762461419E+02  2.357212555E+02  8.604364601E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746152859E+04  1.544034837E+02  3.329990789E+02  2.761397681E+02  2.363642677E+02  8.592083035E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.737540399E+04  1.550211095E+02  3.329529188E+02  2.760632308E+02  2.370369214E+02  8.584745498E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.727374377E+04  1.555821514E+02  3.329069862E+02  2.759871297E+02  2.376300185E+02  8.578932518E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.714264868E+04  1.562977047E+02  3.328382826E+02  2.758733077E+02  2.383096099E+02  8.568322267E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.698941797E+04  1.572583046E+02  3.327428703E+02  2.757151408E+02  2.395057936E+02  8.562120199E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.678638208E+04  1.581780186E+02  3.326329327E+02  2.755329256E+02  2.405621614E+02  8.553381171E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.655115735E+04  1.591925049E+02  3.325109043E+02  2.753308153E+02  2.416045814E+02  8.540296927E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.631317810E+04  1.603643274E+02  3.323861885E+02  2.751243196E+02  2.428558130E+02  8.526318409E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.611697113E+04  1.614836034E+02  3.322873273E+02  2.749606450E+02  2.439562614E+02  8.509611990E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.605013342E+04  1.628450897E+02  3.322417191E+02  2.748851662E+02  2.448687273E+02  8.472869562E-01 
