nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.756639886E+04  1.536173229E+02  3.330817457E+02  2.762769212E+02  2.354496894E+02  8.601095502E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.748709293E+04  1.545289592E+02  3.330038915E+02  2.761478238E+02  2.365103793E+02  8.590505135E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.739721979E+04  1.551021992E+02  3.329567246E+02  2.760694993E+02  2.370359597E+02  8.580044042E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.725887964E+04  1.556601775E+02  3.328985538E+02  2.759730806E+02  2.376216731E+02  8.574255127E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.711685547E+04  1.564201589E+02  3.328262978E+02  2.758533487E+02  2.385476565E+02  8.569825273E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.695024072E+04  1.571556325E+02  3.327375507E+02  2.757063890E+02  2.392554202E+02  8.559647761E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679145337E+04  1.581135254E+02  3.326420727E+02  2.755480909E+02  2.404137449E+02  8.552847821E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.659174707E+04  1.590161564E+02  3.325359073E+02  2.753721914E+02  2.415762725E+02  8.548516314E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.635685242E+04  1.601696987E+02  3.324149141E+02  2.751718016E+02  2.428844459E+02  8.537033480E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.611762592E+04  1.616215053E+02  3.322796230E+02  2.749479010E+02  2.442134769E+02  8.511183579E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.602426187E+04  1.628614815E+02  3.322211939E+02  2.748511975E+02  2.447751226E+02  8.468975199E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.621806039E+04  1.631998243E+02  3.323416334E+02  2.750505146E+02  2.444551923E+02  8.445714181E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.670377173E+04  1.625252190E+02  3.326135483E+02  2.755007806E+02  2.430657091E+02  8.440370653E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.748933545E+04  1.606386318E+02  3.330177612E+02  2.761710033E+02  2.405459471E+02  8.462685272E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.847591211E+04  1.567581072E+02  3.335323792E+02  2.770251989E+02  2.374622850E+02  8.575948924E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.943841870E+04  1.496183362E+02  3.340281420E+02  2.778494844E+02  2.340763125E+02  8.863647077E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.721273022E+04  1.470479804E+02  3.328587751E+02  2.759099774E+02  2.440421500E+02  9.360836046E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.552925378E+04  1.777222607E+02  3.259932151E+02  2.646442533E+02  2.873669238E+02  9.343674779E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.995249261E+04  2.103734814E+02  3.226143596E+02  2.591889701E+02  3.086689463E+02  8.449942344E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.300834875E+04  2.112911292E+02  3.249060292E+02  2.628847347E+02  2.976879005E+02  7.932507556E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.661452594E+04  2.081045656E+02  3.270477905E+02  2.663607178E+02  2.838976989E+02  7.559098294E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.900013148E+04  2.087407811E+02  3.283672658E+02  2.685134491E+02  2.763862069E+02  7.243683691E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.063269723E+04  2.112477845E+02  3.293293494E+02  2.700886644E+02  2.719771563E+02  6.957722519E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.176430614E+04  2.153038818E+02  3.299817200E+02  2.711596322E+02  2.680770431E+02  6.611702540E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.275384094E+04  2.204049876E+02  3.304504395E+02  2.719305520E+02  2.651373210E+02  6.250466392E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.347363403E+04  2.260528564E+02  3.307727442E+02  2.724609241E+02  2.633484282E+02  5.902908193E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.359512646E+04  2.328989375E+02  3.308087184E+02  2.725201609E+02  2.633217354E+02  5.552255572E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.308512610E+04  2.415017615E+02  3.304868948E+02  2.719902439E+02  2.657551664E+02  5.200017513E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.245008252E+04  2.505796089E+02  3.300524905E+02  2.712758070E+02  2.695629847E+02  4.874570132E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.189885059E+04  2.586470137E+02  3.297846735E+02  2.708355553E+02  2.727977824E+02  4.581182171E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.134417871E+04  2.665015697E+02  3.295341258E+02  2.704242821E+02  2.753308573E+02  4.278270854E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.076216248E+04  2.747898643E+02  3.292029271E+02  2.698810327E+02  2.779055781E+02  3.957018116E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.020293213E+04  2.832836053E+02  3.288401175E+02  2.692863261E+02  2.806510787E+02  3.631542155E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.987349831E+04  2.907713010E+02  3.286550255E+02  2.689833181E+02  2.825684692E+02  3.327959129E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  7.999747900E+04  2.964055539E+02  3.287684779E+02  2.691688186E+02  2.828543479E+02  3.059469344E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.027774942E+04  3.016812868E+02  3.289474543E+02  2.694616745E+02  2.828190227E+02  2.797290785E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.079202424E+04  3.067134139E+02  3.292711931E+02  2.699926227E+02  2.820716361E+02  2.516473632E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.204955676E+04  3.094303132E+02  3.300123720E+02  2.712097615E+02  2.786926409E+02  2.252932754E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.374434082E+04  3.107716026E+02  3.309577875E+02  2.727663097E+02  2.738057976E+02  2.001893371E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.586760645E+04  3.106658459E+02  3.321000328E+02  2.746531143E+02  2.674591770E+02  1.771125030E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.826724976E+04  3.089226294E+02  3.333962727E+02  2.768018661E+02  2.600634532E+02  1.589912940E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  9.072894287E+04  3.057448421E+02  3.346759133E+02  2.789305692E+02  2.522762723E+02  1.477079517E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.297551660E+04  3.019327564E+02  3.357869062E+02  2.807845354E+02  2.450437546E+02  1.428418490E-01 
        44  3.781448665E-02  1.220744111E-01  6.730672953E-02  9.473782983E+04  2.984011755E+02  3.366648636E+02  2.822540579E+02  2.393545322E+02  1.432072460E-01 
        45  3.826762164E-02  1.224563704E-01  7.025293559E-02  9.590966119E+04  2.957166214E+02  3.373130572E+02  2.833415804E+02  2.356887085E+02  1.472760421E-01 
        46  3.856443464E-02  1.228195695E-01  7.317567491E-02  9.658603516E+04  2.938306580E+02  3.378226929E+02  2.841987076E+02  2.335943069E+02  1.529826932E-01 
        47  3.882754171E-02  1.231963568E-01  7.616928387E-02  9.687440149E+04  2.923333609E+02  3.384820147E+02  2.853104637E+02  2.319149644E+02  1.585785110E-01 
        48  3.896508106E-02  1.235573809E-01  7.913505459E-02  9.686740430E+04  2.887319679E+02  3.395159073E+02  2.870697708E+02  2.257999458E+02  1.621481441E-01 
        49  3.903512947E-02  1.239238609E-01  8.213137167E-02  9.664793420E+04  2.790788069E+02  3.415318897E+02  2.905141346E+02  2.088994925E+02  1.708892544E-01 
        50  3.900153017E-02  1.243001337E-01  8.510504302E-02  9.633324170E+04  2.629700385E+02  3.447283928E+02  2.959900243E+02  1.788365162E+02  1.778773136E-01 
        51  3.889299026E-02  1.246700891E-01  8.806950082E-02  9.604346283E+04  2.463456380E+02  3.481796720E+02  3.019415090E+02  1.344088554E+02  1.562816929E-01 
        52  3.870303970E-02  1.250405990E-01  9.105247242E-02  9.608508057E+04  2.382314692E+02  3.509373045E+02  3.067128806E+02  9.162028241E+01  1.561420516E-02 
        53  3.847530202E-02  1.253810613E-01  9.402032493E-02  9.669252402E+04  2.406120703E+02  3.520746374E+02  3.087001663E+02  5.643523270E+01 -5.679398486E-01 
        54  3.809583015E-02  1.257752167E-01  9.695318516E-02  9.789760449E+04  2.351205597E+02  3.534869614E+02  3.111700668E+02  3.768933535E+01 -1.499488443E+00 
        55  3.767199372E-02  1.261489404E-01  9.992435767E-02  9.839932983E+04  2.430125513E+02  3.524808588E+02  3.093999748E+02  4.531712484E+01 -1.474116627E+00 
