nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755156534E+04  1.539118479E+02  3.330512341E+02  2.762262442E+02  2.357649987E+02  8.595526731E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746305164E+04  1.544098161E+02  3.330061337E+02  2.761514733E+02  2.363303568E+02  8.590168231E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.738064838E+04  1.549986039E+02  3.329594882E+02  2.760740905E+02  2.369880264E+02  8.584042746E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.727478699E+04  1.556508718E+02  3.329043217E+02  2.759826303E+02  2.377142718E+02  8.577663936E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.713294678E+04  1.563807950E+02  3.328310299E+02  2.758611565E+02  2.384900737E+02  8.569228258E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.698117822E+04  1.571633501E+02  3.327511415E+02  2.757287478E+02  2.393769302E+02  8.562245015E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.683759521E+04  1.579217134E+02  3.326777658E+02  2.756071739E+02  2.403021140E+02  8.558384888E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.664379102E+04  1.588764799E+02  3.325718980E+02  2.754317360E+02  2.414098258E+02  8.550600521E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.640375110E+04  1.601135261E+02  3.324383435E+02  2.752106500E+02  2.427445428E+02  8.535902146E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.619488684E+04  1.614596000E+02  3.323176858E+02  2.750109222E+02  2.439768834E+02  8.511950774E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.605064545E+04  1.628341485E+02  3.322263602E+02  2.748598784E+02  2.449994869E+02  8.478821402E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.612634192E+04  1.636585976E+02  3.322654463E+02  2.749245033E+02  2.449222337E+02  8.436928745E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.663492896E+04  1.627120690E+02  3.325781183E+02  2.754420662E+02  2.432652740E+02  8.435722608E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.745888867E+04  1.606232996E+02  3.330129337E+02  2.761628227E+02  2.405730362E+02  8.462847136E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.857047852E+04  1.565242596E+02  3.335929852E+02  2.771258736E+02  2.371053591E+02  8.577809557E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.947913672E+04  1.497931089E+02  3.340345879E+02  2.778602238E+02  2.340638075E+02  8.851866573E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.729173877E+04  1.462880040E+02  3.329021482E+02  2.759803905E+02  2.417240627E+02  9.316209089E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.568212891E+04  1.756280789E+02  3.262693434E+02  2.650922809E+02  2.858871250E+02  9.387945831E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.987297150E+04  2.080753431E+02  3.228365288E+02  2.595445356E+02  3.070865002E+02  8.500563493E-01 
