nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.752915288E+04  1.537590967E+02  3.330665131E+02  2.762516854E+02  2.355713312E+02  8.597847065E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746205298E+04  1.545812559E+02  3.329878346E+02  2.761211672E+02  2.362539030E+02  8.578321969E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.734843646E+04  1.551643682E+02  3.329366698E+02  2.760362966E+02  2.374950660E+02  8.593340041E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.722475049E+04  1.553633313E+02  3.329114676E+02  2.759945064E+02  2.374909551E+02  8.587343525E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.707293286E+04  1.562405663E+02  3.328226824E+02  2.758473501E+02  2.381075549E+02  8.565247916E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.694159229E+04  1.576034527E+02  3.326937962E+02  2.756337810E+02  2.398354139E+02  8.554612882E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679781885E+04  1.580488319E+02  3.326475239E+02  2.755571728E+02  2.403580298E+02  8.554098718E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658456445E+04  1.589594951E+02  3.325348535E+02  2.753705530E+02  2.414115195E+02  8.548006508E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.636371082E+04  1.601548951E+02  3.324156151E+02  2.751730340E+02  2.427618051E+02  8.533319766E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.621301593E+04  1.612932621E+02  3.323409605E+02  2.750493670E+02  2.436902592E+02  8.510454856E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.614466669E+04  1.624089769E+02  3.322986495E+02  2.749793282E+02  2.448562266E+02  8.497372719E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.631605945E+04  1.631644981E+02  3.323662596E+02  2.750912893E+02  2.445366213E+02  8.449798166E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.681493091E+04  1.626441779E+02  3.326324987E+02  2.755323610E+02  2.430584841E+02  8.433354404E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.755211768E+04  1.601765451E+02  3.330750446E+02  2.762658920E+02  2.405490189E+02  8.488172218E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.861365918E+04  1.562387705E+02  3.336167145E+02  2.771654139E+02  2.371861677E+02  8.595721647E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.938809546E+04  1.495257955E+02  3.340297375E+02  2.778520975E+02  2.336012034E+02  8.851961233E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.700846643E+04  1.472034519E+02  3.327368345E+02  2.757076757E+02  2.447562227E+02  9.371469868E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.562281140E+04  1.750168128E+02  3.262622938E+02  2.650827451E+02  2.867707286E+02  9.461992458E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.002670453E+04  2.103006130E+02  3.226475401E+02  2.592431166E+02  3.084241502E+02  8.441966926E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.309078853E+04  2.099721597E+02  3.250236816E+02  2.630758588E+02  2.955418720E+02  7.917559976E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.661457562E+04  2.057726276E+02  3.272839310E+02  2.667473631E+02  2.796288459E+02  7.513507339E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.896275893E+04  2.053314361E+02  3.287546430E+02  2.691492973E+02  2.728680922E+02  7.282804424E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.054292173E+04  2.087480049E+02  3.295861760E+02  2.705114517E+02  2.687514164E+02  6.970556236E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.173605949E+04  2.139931653E+02  3.301115336E+02  2.713741051E+02  2.653487721E+02  6.588161380E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.280945007E+04  2.189759119E+02  3.305959270E+02  2.721707215E+02  2.626636128E+02  6.239640233E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.354544617E+04  2.245043886E+02  3.309177876E+02  2.727000265E+02  2.614899979E+02  5.918163378E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.362269110E+04  2.318680940E+02  3.309047821E+02  2.726781781E+02  2.625638049E+02  5.580300502E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.309171478E+04  2.408415483E+02  3.305679519E+02  2.721234885E+02  2.655008936E+02  5.222475292E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.245867633E+04  2.491033927E+02  3.302376406E+02  2.715800400E+02  2.676567646E+02  4.882878868E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.192611621E+04  2.574961400E+02  3.298706610E+02  2.709768450E+02  2.705875285E+02  4.564779168E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.135311194E+04  2.659575691E+02  3.294716077E+02  2.703219547E+02  2.740762048E+02  4.264499359E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.073371521E+04  2.735665619E+02  3.292216873E+02  2.699119442E+02  2.766359081E+02  3.975310982E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.016188324E+04  2.809593353E+02  3.290399905E+02  2.696138891E+02  2.785471343E+02  3.674821719E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.984752272E+04  2.890979886E+02  3.287785886E+02  2.691854370E+02  2.809437361E+02  3.355203855E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  7.995903101E+04  2.959459773E+02  3.287365046E+02  2.691164842E+02  2.823167647E+02  3.065152041E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.023075293E+04  3.010368506E+02  3.290173118E+02  2.695763260E+02  2.819769078E+02  2.800245968E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.077952386E+04  3.059673154E+02  3.294183155E+02  2.702339058E+02  2.809780855E+02  2.513490913E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.209000201E+04  3.087930378E+02  3.302138389E+02  2.715418169E+02  2.774924119E+02  2.239574435E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.385427246E+04  3.100602369E+02  3.312814732E+02  2.733009100E+02  2.724691057E+02  1.986906249E-01 
        40  3.515433510E-02  1.205874318E-01  5.570324370E-02  8.598897607E+04  3.103063660E+02  3.324426727E+02  2.752201481E+02  2.665458126E+02  1.753363898E-01 
        41  3.592907297E-02  1.209644065E-01  5.857535950E-02  8.837951440E+04  3.090526390E+02  3.336918879E+02  2.772926278E+02  2.599305916E+02  1.576414704E-01 
        42  3.664355424E-02  1.213334730E-01  6.146049591E-02  9.084378088E+04  3.062435269E+02  3.349101009E+02  2.793206491E+02  2.526863842E+02  1.463953415E-01 
        43  3.727845098E-02  1.217084379E-01  6.437276718E-02  9.308648730E+04  3.025214233E+02  3.359536438E+02  2.810633125E+02  2.456646461E+02  1.418600511E-01 
        44  3.781448665E-02  1.220744111E-01  6.730672953E-02  9.480664331E+04  2.987032413E+02  3.367761364E+02  2.824405794E+02  2.400833220E+02  1.444350271E-01 
        45  3.826762164E-02  1.224563704E-01  7.025293559E-02  9.588932288E+04  2.956847937E+02  3.373129528E+02  2.833411026E+02  2.362484044E+02  1.498186385E-01 
        46  3.856443464E-02  1.228195695E-01  7.317567491E-02  9.643612109E+04  2.937317657E+02  3.376110229E+02  2.838421707E+02  2.341545486E+02  1.559796780E-01 
        47  3.882754171E-02  1.231963568E-01  7.616928387E-02  9.666925513E+04  2.913965458E+02  3.381920288E+02  2.848218629E+02  2.316560975E+02  1.634196375E-01 
        48  3.896508106E-02  1.235573809E-01  7.913505459E-02  9.670510938E+04  2.868005714E+02  3.393234177E+02  2.867460175E+02  2.239580727E+02  1.677085869E-01 
        49  3.903512947E-02  1.239238609E-01  8.213137167E-02  9.661401697E+04  2.750305505E+02  3.417539957E+02  2.908992260E+02  2.036292598E+02  1.815376186E-01 
        50  3.900153017E-02  1.243001337E-01  8.510504302E-02  9.642175635E+04  2.574277958E+02  3.453863988E+02  2.971211409E+02  1.689921758E+02  1.834357670E-01 
        51  3.889299026E-02  1.246700891E-01  8.806950082E-02  9.634001825E+04  2.396665432E+02  3.493697867E+02  3.040027144E+02  1.209043411E+02  1.668917589E-01 
        52  3.870303970E-02  1.250405990E-01  9.105247242E-02  9.635113013E+04  2.326375651E+02  3.521975698E+02  3.089109173E+02  7.867172158E+01  3.313738288E-02 
        53  3.847530202E-02  1.253810613E-01  9.402032493E-02  9.701923175E+04  2.335260954E+02  3.531796010E+02  3.106318367E+02  4.524871857E+01 -4.169477561E-01 
        54  3.809583015E-02  1.257752167E-01  9.695318516E-02  9.705067188E+04  2.281240387E+02  3.532733078E+02  3.107913971E+02  4.066282034E+01 -8.090952151E-01 
        55  3.767199372E-02  1.261489404E-01  9.992435767E-02  9.789698169E+04  2.420089207E+02  3.525272999E+02  3.094791245E+02  4.792918468E+01 -1.725607790E+00 
        56  3.723780727E-02  1.265196365E-01  1.028569506E-01  1.001606042E+05  2.529695203E+02  3.522433234E+02  3.089805977E+02  6.253151785E+01 -1.252535949E+00 
