nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755013077E+04  1.539434006E+02  3.330496651E+02  2.762236951E+02  2.357885418E+02  8.594621971E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746460797E+04  1.544172117E+02  3.330067096E+02  2.761524034E+02  2.363205515E+02  8.589359769E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.737022888E+04  1.550072298E+02  3.329565589E+02  2.760692213E+02  2.369687558E+02  8.582815458E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.727303650E+04  1.556427391E+02  3.329050393E+02  2.759838257E+02  2.376883936E+02  8.577156924E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.714815698E+04  1.563524661E+02  3.328380556E+02  2.758727856E+02  2.384798465E+02  8.570385873E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.698127466E+04  1.571753087E+02  3.327504768E+02  2.757276878E+02  2.393880053E+02  8.561900053E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.681704541E+04  1.579986496E+02  3.326643229E+02  2.755849361E+02  2.403814645E+02  8.556942977E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.663459888E+04  1.588920116E+02  3.325689497E+02  2.754269190E+02  2.414232802E+02  8.550254237E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.639960645E+04  1.600315506E+02  3.324442658E+02  2.752204292E+02  2.426551237E+02  8.537071981E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.618569794E+04  1.613746667E+02  3.323247669E+02  2.750225797E+02  2.438560462E+02  8.512201272E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.608497046E+04  1.626359078E+02  3.322575395E+02  2.749113151E+02  2.448462688E+02  8.484475841E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.616378958E+04  1.634873078E+02  3.322908306E+02  2.749665021E+02  2.449060322E+02  8.445445760E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.663682666E+04  1.630714178E+02  3.325438843E+02  2.753854361E+02  2.434983125E+02  8.424649499E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.749250977E+04  1.606739244E+02  3.330193157E+02  2.761733990E+02  2.406676245E+02  8.463391103E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.853382178E+04  1.564281836E+02  3.335865116E+02  2.771150675E+02  2.370926657E+02  8.581044562E-01 
