nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.753936826E+04  1.538826777E+02  3.330509010E+02  2.762258639E+02  2.356166571E+02  8.592629721E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747256412E+04  1.545370974E+02  3.329977247E+02  2.761375301E+02  2.364131110E+02  8.586565114E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.734383960E+04  1.550747335E+02  3.329414349E+02  2.760442090E+02  2.370231447E+02  8.581393422E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.723954846E+04  1.553919294E+02  3.329168653E+02  2.760035834E+02  2.376346049E+02  8.590098219E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.709806177E+04  1.564162502E+02  3.328142691E+02  2.758334227E+02  2.383527012E+02  8.563778289E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.692680078E+04  1.571322045E+02  3.327302942E+02  2.756942611E+02  2.394182472E+02  8.566893730E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.677875586E+04  1.581878366E+02  3.326245556E+02  2.755189781E+02  2.405829048E+02  8.553799223E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.659283142E+04  1.591885946E+02  3.325202165E+02  2.753462191E+02  2.415880885E+02  8.539916947E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.637711975E+04  1.602342982E+02  3.324178543E+02  2.751767623E+02  2.426555455E+02  8.527066167E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.614321539E+04  1.613741173E+02  3.323063653E+02  2.749921889E+02  2.437986665E+02  8.510050829E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.608957001E+04  1.625039784E+02  3.322723601E+02  2.749358755E+02  2.445189813E+02  8.479394505E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.623676050E+04  1.629212274E+02  3.323756546E+02  2.751068280E+02  2.445649796E+02  8.465213277E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.677236646E+04  1.622687922E+02  3.326477661E+02  2.755575256E+02  2.429848413E+02  8.450337742E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.763015674E+04  1.605553694E+02  3.330669346E+02  2.762526035E+02  2.404470634E+02  8.463101760E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.858289258E+04  1.564316263E+02  3.335960922E+02  2.771311522E+02  2.372514277E+02  8.588769063E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.947570166E+04  1.494316339E+02  3.340709534E+02  2.779207392E+02  2.343698168E+02  8.886197507E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.723909229E+04  1.456033008E+02  3.329569044E+02  2.760722098E+02  2.420865736E+02  9.361810284E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.559009534E+04  1.734621863E+02  3.264466882E+02  2.653808990E+02  2.850402417E+02  9.484850857E-01 
