nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755097980E+04  1.539484213E+02  3.330516793E+02  2.762270158E+02  2.357975363E+02  8.594628948E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747038553E+04  1.544219234E+02  3.330088159E+02  2.761559098E+02  2.363362290E+02  8.589629030E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736544922E+04  1.550441856E+02  3.329517376E+02  2.760612028E+02  2.370100492E+02  8.582202340E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.724514832E+04  1.557360053E+02  3.328882914E+02  2.759560184E+02  2.377402334E+02  8.573694983E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.711633154E+04  1.564465442E+02  3.328219252E+02  2.758460107E+02  2.385162554E+02  8.566292934E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697302563E+04  1.572037029E+02  3.327477045E+02  2.757230148E+02  2.394152784E+02  8.561127018E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.682442407E+04  1.579801040E+02  3.326694441E+02  2.755933342E+02  2.403736496E+02  8.557466660E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.663829797E+04  1.589040861E+02  3.325687280E+02  2.754265132E+02  2.414508901E+02  8.550363723E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.639450635E+04  1.601096051E+02  3.324357333E+02  2.752062550E+02  2.427404809E+02  8.535603592E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.617411908E+04  1.614249574E+02  3.323144166E+02  2.750053871E+02  2.438887169E+02  8.510148814E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.606889804E+04  1.626665626E+02  3.322537788E+02  2.749051348E+02  2.447827858E+02  8.479980472E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.620137973E+04  1.632716396E+02  3.323248268E+02  2.750226779E+02  2.446710752E+02  8.449049140E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.668271948E+04  1.626666718E+02  3.325858879E+02  2.754549050E+02  2.433393626E+02  8.440986462E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.751294580E+04  1.605335550E+02  3.330384293E+02  2.762050514E+02  2.406274738E+02  8.469987772E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.855058008E+04  1.565420933E+02  3.335790119E+02  2.771025267E+02  2.371309719E+02  8.576754928E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.933734131E+04  1.499206929E+02  3.339926176E+02  2.777903318E+02  2.344274921E+02  8.857667260E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.743566150E+04  1.469308722E+02  3.329700117E+02  2.760936396E+02  2.435579998E+02  9.342509797E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.597662427E+04  1.739851568E+02  3.264802322E+02  2.654353161E+02  2.844655681E+02  9.422029443E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  6.997739771E+04  2.079338652E+02  3.228378861E+02  2.595477314E+02  3.062824366E+02  8.474055580E-01 
