nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755009280E+04  1.537286355E+02  3.330677658E+02  2.762537315E+02  2.357064830E+02  8.604096964E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.744595331E+04  1.547996916E+02  3.329613057E+02  2.760771508E+02  2.366368735E+02  8.579896747E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.735059509E+04  1.549678270E+02  3.329535320E+02  2.760642207E+02  2.369096791E+02  8.583082245E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.721974548E+04  1.553654494E+02  3.329142923E+02  2.759992409E+02  2.373739617E+02  8.582484322E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.711043530E+04  1.563430963E+02  3.328290977E+02  2.758580184E+02  2.385031638E+02  8.572869282E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.696262695E+04  1.571174726E+02  3.327449198E+02  2.757185454E+02  2.393877387E+02  8.566607218E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.677042480E+04  1.580977230E+02  3.326336460E+02  2.755341587E+02  2.403867283E+02  8.552542496E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.657748694E+04  1.591452718E+02  3.325236492E+02  2.753518467E+02  2.414946136E+02  8.539627641E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.636012720E+04  1.601383421E+02  3.324149384E+02  2.751718965E+02  2.428790562E+02  8.539290410E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.614610730E+04  1.613167793E+02  3.323183308E+02  2.750119796E+02  2.437847834E+02  8.512574658E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.605356464E+04  1.625226397E+02  3.322624965E+02  2.749195560E+02  2.445610546E+02  8.480002331E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.622916934E+04  1.631381617E+02  3.323500340E+02  2.750644758E+02  2.445971632E+02  8.454143540E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.675631348E+04  1.626953621E+02  3.326155739E+02  2.755041428E+02  2.430673280E+02  8.429822605E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.760062158E+04  1.606239262E+02  3.330547543E+02  2.762321987E+02  2.407047520E+02  8.468236625E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.865052295E+04  1.560016899E+02  3.336583061E+02  2.772343531E+02  2.369626417E+02  8.601421751E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.943043311E+04  1.494585977E+02  3.340547304E+02  2.778938427E+02  2.343518305E+02  8.883886579E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.749796228E+04  1.467679586E+02  3.329863095E+02  2.761198928E+02  2.431616118E+02  9.345320007E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.554597314E+04  1.736705868E+02  3.263155017E+02  2.651675825E+02  2.836866097E+02  9.419893846E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.009402728E+04  2.096542438E+02  3.228136461E+02  2.595083666E+02  3.073748388E+02  8.428486842E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.298110291E+04  2.126641552E+02  3.247703442E+02  2.626671203E+02  2.997401661E+02  7.939717257E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.662997803E+04  2.077744887E+02  3.271522298E+02  2.665319791E+02  2.823435810E+02  7.517136317E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.906416393E+04  2.070750422E+02  3.285930920E+02  2.688833912E+02  2.737942836E+02  7.236551964E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.067376118E+04  2.090630048E+02  3.295613431E+02  2.704693655E+02  2.692283940E+02  6.971694180E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.179386754E+04  2.140742391E+02  3.301106440E+02  2.713711976E+02  2.661170995E+02  6.609251199E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.275007178E+04  2.194281449E+02  3.305601473E+02  2.721110141E+02  2.634126441E+02  6.241380856E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.341793628E+04  2.248088202E+02  3.308890848E+02  2.726528239E+02  2.617062683E+02  5.906845601E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.350785632E+04  2.316435001E+02  3.308850448E+02  2.726458986E+02  2.620018601E+02  5.572237363E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.302619261E+04  2.406899056E+02  3.305166947E+02  2.720388079E+02  2.652050744E+02  5.225111267E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.244509003E+04  2.491953261E+02  3.302224472E+02  2.715551187E+02  2.680072403E+02  4.888285205E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.192853387E+04  2.573359230E+02  3.299477348E+02  2.711034541E+02  2.701699338E+02  4.554594713E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.137769934E+04  2.659476902E+02  3.295415683E+02  2.704366815E+02  2.731274281E+02  4.229741977E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.076773267E+04  2.747050505E+02  3.290844254E+02  2.696869001E+02  2.769894876E+02  3.931442676E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.017646573E+04  2.826584493E+02  3.287851435E+02  2.691962643E+02  2.803971864E+02  3.657634791E-01 
