nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.755336743E+04  1.539494165E+02  3.330522000E+02  2.762278590E+02  2.357967379E+02  8.594559188E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747494678E+04  1.544363831E+02  3.330101284E+02  2.761580790E+02  2.363467864E+02  8.589224482E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.737142950E+04  1.550560677E+02  3.329541249E+02  2.760652139E+02  2.370154275E+02  8.581762305E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.725423853E+04  1.557404499E+02  3.328922343E+02  2.759625626E+02  2.377477827E+02  8.573713209E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.712914648E+04  1.564346862E+02  3.328278475E+02  2.758558502E+02  2.385026917E+02  8.566413783E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.697934058E+04  1.571951957E+02  3.327505302E+02  2.757276940E+02  2.394133997E+02  8.561451957E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.679812549E+04  1.580397792E+02  3.326553993E+02  2.755700550E+02  2.404307723E+02  8.556056861E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658121228E+04  1.590367446E+02  3.325394807E+02  2.753780537E+02  2.415825744E+02  8.547532912E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.634035706E+04  1.602536106E+02  3.324093561E+02  2.751625369E+02  2.428900950E+02  8.532966850E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.613715295E+04  1.615566201E+02  3.322989805E+02  2.749798772E+02  2.440209107E+02  8.507842021E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.606711475E+04  1.627012932E+02  3.322601367E+02  2.749155986E+02  2.447509687E+02  8.477213797E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.625013354E+04  1.631934787E+02  3.323588473E+02  2.750789537E+02  2.444822880E+02  8.446731120E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.676792676E+04  1.625268569E+02  3.326370535E+02  2.755396523E+02  2.429819040E+02  8.436230589E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.759256982E+04  1.603245621E+02  3.330809784E+02  2.762756691E+02  2.403275814E+02  8.470786810E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.852875342E+04  1.562945938E+02  3.335752888E+02  2.770963287E+02  2.371624451E+02  8.590651788E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.932508691E+04  1.499287543E+02  3.339580164E+02  2.777326756E+02  2.345751767E+02  8.861385416E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.736191907E+04  1.460790287E+02  3.330021429E+02  2.761464403E+02  2.423957140E+02  9.344869517E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.511823987E+04  1.759930999E+02  3.259530196E+02  2.645781054E+02  2.873280487E+02  9.427563027E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.048138202E+04  2.059586054E+02  3.230454824E+02  2.598801713E+02  3.048559213E+02  8.520024731E-01 
        20  7.472030685E-03  1.121892539E-01  3.633809071E-03  7.284541064E+04  2.105648025E+02  3.244641343E+02  2.621695756E+02  2.962278437E+02  7.910104641E-01 
        21  9.366594022E-03  1.125505666E-01  5.932977735E-03  7.619801813E+04  2.085028405E+02  3.264794159E+02  2.654361217E+02  2.849546843E+02  7.575071487E-01 
        22  1.122147558E-02  1.129077905E-01  8.263617067E-03  7.862227877E+04  2.085493607E+02  3.279677266E+02  2.678605582E+02  2.767256923E+02  7.265354220E-01 
        23  1.303284284E-02  1.132507638E-01  1.062953057E-02  8.032646924E+04  2.108002613E+02  3.290124477E+02  2.695688522E+02  2.711359097E+02  6.948857495E-01 
        24  1.479928419E-02  1.136234762E-01  1.303021626E-02  8.153777043E+04  2.151156628E+02  3.297313299E+02  2.707477234E+02  2.674067048E+02  6.595334611E-01 
        25  1.649617427E-02  1.139938279E-01  1.547769530E-02  8.250124841E+04  2.202980678E+02  3.302847760E+02  2.716571615E+02  2.646699743E+02  6.233831490E-01 
        26  1.811807173E-02  1.143837002E-01  1.797032872E-02  8.317691443E+04  2.260752771E+02  3.306848426E+02  2.723152747E+02  2.631951919E+02  5.888876850E-01 
        27  1.968166241E-02  1.148013513E-01  2.049621310E-02  8.336277063E+04  2.330816190E+02  3.308419511E+02  2.725738778E+02  2.636455495E+02  5.550528755E-01 
        28  2.119101764E-02  1.152299366E-01  2.305322148E-02  8.297895586E+04  2.416588099E+02  3.307019106E+02  2.723433156E+02  2.660882919E+02  5.201490074E-01 
        29  2.266338778E-02  1.156643914E-01  2.563116057E-02  8.242604926E+04  2.503788348E+02  3.304470634E+02  2.719239554E+02  2.689661191E+02  4.861231523E-01 
        30  2.408077791E-02  1.161159634E-01  2.823658064E-02  8.186913165E+04  2.586633382E+02  3.302024605E+02  2.715219462E+02  2.718034179E+02  4.544939669E-01 
        31  2.544088325E-02  1.165921105E-01  3.086849856E-02  8.128458801E+04  2.667838812E+02  3.299395671E+02  2.710903113E+02  2.748046775E+02  4.246307565E-01 
        32  2.674433127E-02  1.170738851E-01  3.352942364E-02  8.070191138E+04  2.747162282E+02  3.296696424E+02  2.706474693E+02  2.777509055E+02  3.957600575E-01 
        33  2.797950643E-02  1.175445507E-01  3.622298897E-02  8.019060358E+04  2.824968668E+02  3.294082326E+02  2.702188517E+02  2.804143044E+02  3.666898002E-01 
        34  2.916313541E-02  1.180056499E-01  3.893937175E-02  7.990963080E+04  2.897338881E+02  3.291999758E+02  2.698775132E+02  2.822962769E+02  3.374824316E-01 
        35  3.031249539E-02  1.184785399E-01  4.167042727E-02  8.000561728E+04  2.955855453E+02  3.291227286E+02  2.697507998E+02  2.827918565E+02  3.102731060E-01 
        36  3.139929926E-02  1.189405785E-01  4.442941843E-02  8.029220633E+04  3.009710741E+02  3.291657926E+02  2.698208464E+02  2.826757746E+02  2.830389511E-01 
        37  3.242013936E-02  1.193808800E-01  4.721660669E-02  8.090427779E+04  3.057875224E+02  3.292948816E+02  2.700317079E+02  2.814037872E+02  2.539914393E-01 
        38  3.340677803E-02  1.198011670E-01  5.002067675E-02  8.213078366E+04  3.085927877E+02  3.299123560E+02  2.710452117E+02  2.780794823E+02  2.273283075E-01 
        39  3.430413654E-02  1.201853153E-01  5.285529857E-02  8.372296289E+04  3.102996893E+02  3.308648252E+02  2.726130505E+02  2.735093174E+02  2.014926951E-01 
