nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.752692107E+04  1.537456781E+02  3.330667240E+02  2.762520463E+02  2.355372952E+02  8.597326330E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.747054260E+04  1.545568948E+02  3.329943151E+02  2.761318691E+02  2.362478157E+02  8.579431358E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.735151428E+04  1.551919029E+02  3.329368930E+02  2.760365889E+02  2.376200964E+02  8.596438519E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.721886047E+04  1.553321733E+02  3.329129162E+02  2.759969091E+02  2.373377666E+02  8.583866544E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.707082007E+04  1.563033824E+02  3.328161554E+02  2.758365245E+02  2.381945028E+02  8.564614523E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.695036865E+04  1.575904350E+02  3.326992178E+02  2.756427417E+02  2.397998962E+02  8.554476481E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.680659204E+04  1.579270511E+02  3.326649427E+02  2.755860291E+02  2.402642617E+02  8.558114469E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.658600293E+04  1.590666118E+02  3.325238910E+02  2.753523674E+02  2.415386772E+02  8.545859121E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.638211035E+04  1.600663474E+02  3.324298306E+02  2.751965127E+02  2.427121847E+02  8.536357433E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.625051508E+04  1.613837264E+02  3.323474777E+02  2.750601311E+02  2.438615170E+02  8.511637552E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.615915915E+04  1.624571986E+02  3.322991230E+02  2.749801031E+02  2.447930282E+02  8.492091314E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.629767279E+04  1.633222715E+02  3.323450354E+02  2.750562599E+02  2.445627211E+02  8.442262053E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.678608130E+04  1.623896718E+02  3.326465712E+02  2.755555816E+02  2.429725409E+02  8.444966394E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.752552930E+04  1.601809540E+02  3.330702496E+02  2.762579308E+02  2.405093212E+02  8.485992737E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.861522852E+04  1.563400955E+02  3.335980930E+02  2.771345291E+02  2.370552158E+02  8.585695885E-01 
        16 -3.058463972E-04  1.106716081E-01 -5.380345181E-03  8.926856763E+04  1.499482574E+02  3.339587164E+02  2.777339487E+02  2.338386288E+02  8.837796524E-01 
        17  1.649896870E-03  1.110991589E-01 -3.144821902E-03  8.709079761E+04  1.469511937E+02  3.328407483E+02  2.758795123E+02  2.446346223E+02  9.387554443E-01 
        18  3.605378217E-03  1.114680886E-01 -8.997268064E-04  7.564143213E+04  1.780392587E+02  3.261130066E+02  2.648397598E+02  2.886485448E+02  9.365127478E-01 
        19  5.548952344E-03  1.118349081E-01  1.356589372E-03  7.001349774E+04  2.109960531E+02  3.225309217E+02  2.590555220E+02  3.092328188E+02  8.440663777E-01 
